VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0,10,5.0,251,15.843
10,20,15.0,267,16.3401
20,30,25.0,273,16.5227
30,40,35.0,288,16.9706
40,50,45.0,282,16.7929
50,60,55.0,212,14.5602
60,70,65.0,283,16.8226
70,80,75.0,301,17.3494
80,90,85.0,233,15.2643
90,100,95.0,255,15.9687
100,110,105.0,245,15.6525
110,120,115.0,234,15.2971
120,130,125.0,265,16.2788
130,140,135.0,239,15.4596
140,150,145.0,272,16.4924
150,160,155.0,271,16.4621
160,170,165.0,250,15.8114
170,180,175.0,294,17.1464
180,190,185.0,262,16.1864
190,200,195.0,276,16.6132
200,210,205.0,249,15.7797
210,220,215.0,246,15.6844
220,230,225.0,270,16.4317
230,240,235.0,281,16.7631
240,250,245.0,256,16.0
250,260,255.0,251,15.843
260,270,265.0,261,16.1555
270,280,275.0,265,16.2788
280,290,285.0,252,15.8745
290,300,295.0,267,16.3401
300,310,305.0,260,16.1245
310,320,315.0,251,15.843
320,330,325.0,279,16.7033
330,340,335.0,276,16.6132
340,350,345.0,252,15.8745
350,360,355.0,272,16.4924
360,370,365.0,253,15.906
370,380,375.0,257,16.0312
380,390,385.0,249,15.7797
390,400,395.0,274,16.5529
400,410,405.0,248,15.748
410,420,415.0,282,16.7929
420,430,425.0,280,16.7332
430,440,435.0,249,15.7797
440,450,445.0,244,15.6205
450,460,455.0,255,15.9687
460,470,465.0,261,16.1555
470,480,475.0,281,16.7631
480,490,485.0,265,16.2788
490,500,495.0,249,15.7797
500,510,505.0,241,15.5242
510,520,515.0,244,15.6205
520,530,525.0,245,15.6525
530,540,535.0,265,16.2788
540,550,545.0,275,16.5831
550,560,555.0,275,16.5831
560,570,565.0,273,16.5227
570,580,575.0,252,15.8745
580,590,585.0,252,15.8745
590,600,595.0,243,15.5885
600,610,605.0,273,16.5227
610,620,615.0,258,16.0624
620,630,625.0,281,16.7631
630,640,635.0,290,17.0294
640,650,645.0,259,16.0935
650,660,655.0,278,16.6733
660,670,665.0,256,16.0
670,680,675.0,249,15.7797
680,690,685.0,290,17.0294
690,700,695.0,251,15.843
700,710,705.0,264,16.2481
710,720,715.0,255,15.9687
720,730,725.0,268,16.3707
730,740,735.0,218,14.7648
740,750,745.0,270,16.4317
750,760,755.0,238,15.4272
760,770,765.0,272,16.4924
770,780,775.0,231,15.1987
780,790,785.0,234,15.2971
790,800,795.0,271,16.4621
800,810,805.0,259,16.0935
810,820,815.0,261,16.1555
820,830,825.0,265,16.2788
830,840,835.0,282,16.7929
840,850,845.0,247,15.7162
850,860,855.0,276,16.6132
860,870,865.0,241,15.5242
870,880,875.0,234,15.2971
880,890,885.0,250,15.8114
890,900,895.0,261,16.1555
900,910,905.0,278,16.6733
910,920,915.0,298,17.2627
920,930,925.0,251,15.843
930,940,935.0,260,16.1245
940,950,945.0,243,15.5885
950,960,955.0,277,16.6433
960,970,965.0,259,16.0935
970,980,975.0,264,16.2481
980,990,985.0,245,15.6525
990,1000,995.0,301,17.3494
1000,1010,1005.0,245,15.6525
1010,1020,1015.0,242,15.5563
1020,1030,1025.0,252,15.8745
1030,1040,1035.0,285,16.8819
1040,1050,1045.0,227,15.0665
1050,1060,1055.0,259,16.0935
1060,1070,1065.0,239,15.4596
1070,1080,1075.0,250,15.8114
1080,1090,1085.0,266,16.3095
1090,1100,1095.0,248,15.748
1100,1110,1105.0,262,16.1864
1110,1120,1115.0,250,15.8114
1120,1130,1125.0,237,15.3948
1130,1140,1135.0,274,16.5529
1140,1150,1145.0,252,15.8745
1150,1160,1155.0,258,16.0624
1160,1170,1165.0,283,16.8226
1170,1180,1175.0,244,15.6205
1180,1190,1185.0,237,15.3948
1190,1200,1195.0,273,16.5227
1200,1210,1205.0,268,16.3707
1210,1220,1215.0,273,16.5227
1220,1230,1225.0,263,16.2173
