VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0,25,12.5,4,2.0
25,50,37.5,8,2.8284271247461903
50,75,62.5,14,3.7416573867739413
75,100,87.5,8,2.8284271247461903
100,125,112.5,6,2.449489742783178
125,150,137.5,9,3.0
150,175,162.5,4,2.0
175,200,187.5,8,2.8284271247461903
200,225,212.5,2,1.4142135623730951
225,250,237.5,5,2.23606797749979
250,275,262.5,7,2.6457513110645907
275,300,287.5,8,2.8284271247461903
300,325,312.5,10,3.1622776601683795
325,350,337.5,5,2.23606797749979
350,375,362.5,9,3.0
375,400,387.5,5,2.23606797749979
400,425,412.5,2,1.4142135623730951
425,450,437.5,9,3.0
450,475,462.5,11,3.3166247903554
475,500,487.5,6,2.449489742783178
500,525,512.5,7,2.6457513110645907
525,550,537.5,6,2.449489742783178
550,575,562.5,5,2.23606797749979
575,600,587.5,8,2.8284271247461903
600,625,612.5,6,2.449489742783178
625,650,637.5,11,3.3166247903554
650,675,662.5,8,2.8284271247461903
675,700,687.5,7,2.6457513110645907
700,725,712.5,11,3.3166247903554
725,750,737.5,5,2.23606797749979
750,775,762.5,10,3.1622776601683795
775,800,787.5,12,3.4641016151377544
800,825,812.5,9,3.0
825,850,837.5,12,3.4641016151377544
850,875,862.5,5,2.23606797749979
875,900,887.5,9,3.0
900,925,912.5,8,2.8284271247461903
925,950,937.5,4,2.0
950,975,962.5,4,2.0
975,1000,987.5,6,2.449489742783178
1000,1025,1012.5,9,3.0
1025,1050,1037.5,5,2.23606797749979
1050,1075,1062.5,5,2.23606797749979
1075,1100,1087.5,6,2.449489742783178
1100,1125,1112.5,7,2.6457513110645907
1125,1150,1137.5,10,3.1622776601683795
1150,1175,1162.5,8,2.8284271247461903
1175,1200,1187.5,9,3.0
1200,1225,1212.5,8,2.8284271247461903
1225,1250,1237.5,6,2.449489742783178
1250,1275,1262.5,10,3.1622776601683795
1275,1300,1287.5,7,2.6457513110645907
1300,1325,1312.5,6,2.449489742783178
1325,1350,1337.5,7,2.6457513110645907
1350,1375,1362.5,2,1.4142135623730951
1375,1400,1387.5,11,3.3166247903554
1400,1425,1412.5,6,2.449489742783178
1425,1450,1437.5,5,2.23606797749979
1450,1475,1462.5,8,2.8284271247461903
1475,1500,1487.5,7,2.6457513110645907
1500,1525,1512.5,11,3.3166247903554
1525,1550,1537.5,4,2.0
1550,1575,1562.5,3,1.7320508075688772
1575,1600,1587.5,4,2.0
1600,1625,1612.5,10,3.1622776601683795
1625,1650,1637.5,5,2.23606797749979
1650,1675,1662.5,11,3.3166247903554
1675,1700,1687.5,5,2.23606797749979
1700,1725,1712.5,5,2.23606797749979
1725,1750,1737.5,6,2.449489742783178
1750,1775,1762.5,10,3.1622776601683795
1775,1800,1787.5,7,2.6457513110645907
1800,1825,1812.5,7,2.6457513110645907
1825,1850,1837.5,5,2.23606797749979
1850,1875,1862.5,10,3.1622776601683795
1875,1900,1887.5,5,2.23606797749979
1900,1925,1912.5,6,2.449489742783178
1925,1950,1937.5,3,1.7320508075688772
1950,1975,1962.5,5,2.23606797749979
1975,2000,1987.5,5,2.23606797749979
2000,2025,2012.5,6,2.449489742783178
2025,2050,2037.5,3,1.7320508075688772
2050,2075,2062.5,8,2.8284271247461903
2075,2100,2087.5,6,2.449489742783178
2100,2125,2112.5,6,2.449489742783178
2125,2150,2137.5,3,1.7320508075688772
2150,2175,2162.5,5,2.23606797749979
2175,2200,2187.5,11,3.3166247903554
2200,2225,2212.5,7,2.6457513110645907
2225,2250,2237.5,6,2.449489742783178
2250,2275,2262.5,10,3.1622776601683795
2275,2300,2287.5,10,3.1622776601683795
2300,2325,2312.5,11,3.3166247903554
2325,2350,2337.5,6,2.449489742783178
2350,2375,2362.5,6,2.449489742783178
2375,2400,2387.5,8,2.8284271247461903
2400,2425,2412.5,10,3.1622776601683795
2425,2450,2437.5,8,2.8284271247461903
2450,2475,2462.5,6,2.449489742783178
2475,2500,2487.5,7,2.6457513110645907
2500,2525,2512.5,6,2.449489742783178
2525,2550,2537.5,7,2.6457513110645907
2550,2575,2562.5,4,2.0
2575,2600,2587.5,2,1.4142135623730951
2600,2625,2612.5,4,2.0
2625,2650,2637.5,9,3.0
2650,2675,2662.5,6,2.449489742783178
2675,2700,2687.5,6,2.449489742783178
2700,2725,2712.5,6,2.449489742783178
2725,2750,2737.5,2,1.4142135623730951
2750,2775,2762.5,1,1.0
2775,2800,2787.5,5,2.23606797749979
2800,2825,2812.5,4,2.0
2825,2850,2837.5,6,2.449489742783178
2850,2875,2862.5,3,1.7320508075688772
2875,2900,2887.5,6,2.449489742783178
2900,2925,2912.5,10,3.1622776601683795
2925,2950,2937.5,9,3.0
2950,2975,2962.5,1,1.0
2975,3000,2987.5,4,2.0
3000,3025,3012.5,9,3.0
3025,3050,3037.5,7,2.6457513110645907
3050,3075,3062.5,9,3.0
3075,3100,3087.5,9,3.0
3100,3125,3112.5,6,2.449489742783178
3125,3150,3137.5,10,3.1622776601683795
3150,3175,3162.5,5,2.23606797749979
3175,3200,3187.5,7,2.6457513110645907
3200,3225,3212.5,5,2.23606797749979
3225,3250,3237.5,6,2.449489742783178
3250,3275,3262.5,7,2.6457513110645907
3275,3300,3287.5,6,2.449489742783178
3300,3325,3312.5,6,2.449489742783178
3325,3350,3337.5,3,1.7320508075688772
3350,3375,3362.5,5,2.23606797749979
3375,3400,3387.5,12,3.4641016151377544
3400,3425,3412.5,6,2.449489742783178
3425,3450,3437.5,4,2.0
3450,3475,3462.5,6,2.449489742783178
3475,3500,3487.5,10,3.1622776601683795
3500,3525,3512.5,5,2.23606797749979
3525,3550,3537.5,4,2.0
3550,3575,3562.5,13,3.605551275463989
3575,3600,3587.5,13,3.605551275463989
