VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0,25,12.5,168,12.96148139681572
25,50,37.5,164,12.806248474865697
50,75,62.5,179,13.379088160259652
75,100,87.5,158,12.569805089976535
100,125,112.5,166,12.884098726725126
125,150,137.5,181,13.45362404707371
150,175,162.5,165,12.84523257866513
175,200,187.5,163,12.767145334803704
200,225,212.5,151,12.288205727444508
225,250,237.5,160,12.649110640673518
250,275,262.5,148,12.165525060596439
275,300,287.5,154,12.409673645990857
300,325,312.5,199,14.106735979665885
325,350,337.5,169,13.0
350,375,362.5,170,13.038404810405298
375,400,387.5,168,12.96148139681572
400,425,412.5,176,13.2664991614216
425,450,437.5,167,12.922847983320086
450,475,462.5,148,12.165525060596439
475,500,487.5,161,12.68857754044952
500,525,512.5,168,12.96148139681572
525,550,537.5,171,13.076696830622021
550,575,562.5,159,12.609520212918492
575,600,587.5,163,12.767145334803704
600,625,612.5,186,13.638181696985855
625,650,637.5,182,13.490737563232042
650,675,662.5,158,12.569805089976535
675,700,687.5,170,13.038404810405298
700,725,712.5,159,12.609520212918492
725,750,737.5,182,13.490737563232042
750,775,762.5,168,12.96148139681572
775,800,787.5,181,13.45362404707371
800,825,812.5,186,13.638181696985855
825,850,837.5,180,13.416407864998739
850,875,862.5,158,12.569805089976535
875,900,887.5,173,13.152946437965905
900,925,912.5,161,12.68857754044952
925,950,937.5,198,14.071247279470288
950,975,962.5,170,13.038404810405298
975,1000,987.5,182,13.490737563232042
1000,1025,1012.5,157,12.529964086141668
1025,1050,1037.5,163,12.767145334803704
1050,1075,1062.5,181,13.45362404707371
1075,1100,1087.5,161,12.68857754044952
1100,1125,1112.5,188,13.711309200802088
1125,1150,1137.5,180,13.416407864998739
1150,1175,1162.5,163,12.767145334803704
1175,1200,1187.5,150,12.24744871391589
1200,1225,1212.5,173,13.152946437965905
1225,1250,1237.5,160,12.649110640673518
1250,1275,1262.5,165,12.84523257866513
1275,1300,1287.5,174,13.19090595827292
1300,1325,1312.5,175,13.228756555322953
1325,1350,1337.5,165,12.84523257866513
1350,1375,1362.5,157,12.529964086141668
1375,1400,1387.5,161,12.68857754044952
1400,1425,1412.5,179,13.379088160259652
1425,1450,1437.5,166,12.884098726725126
1450,1475,1462.5,172,13.114877048604
1475,1500,1487.5,172,13.114877048604
1500,1525,1512.5,160,12.649110640673518
1525,1550,1537.5,162,12.727922061357855
1550,1575,1562.5,181,13.45362404707371
1575,1600,1587.5,175,13.228756555322953
1600,1625,1612.5,152,12.328828005937952
1625,1650,1637.5,163,12.767145334803704
1650,1675,1662.5,155,12.449899597988733
1675,1700,1687.5,141,11.874342087037917
1700,1725,1712.5,168,12.96148139681572
1725,1750,1737.5,169,13.0
1750,1775,1762.5,163,12.767145334803704
1775,1800,1787.5,146,12.083045973594572
1800,1825,1812.5,156,12.489995996796797
1825,1850,1837.5,172,13.114877048604
1850,1875,1862.5,165,12.84523257866513
1875,1900,1887.5,166,12.884098726725126
1900,1925,1912.5,165,12.84523257866513
1925,1950,1937.5,155,12.449899597988733
1950,1975,1962.5,146,12.083045973594572
1975,2000,1987.5,150,12.24744871391589
2000,2025,2012.5,188,13.711309200802088
2025,2050,2037.5,162,12.727922061357855
2050,2075,2062.5,164,12.806248474865697
2075,2100,2087.5,171,13.076696830622021
2100,2125,2112.5,173,13.152946437965905
2125,2150,2137.5,157,12.529964086141668
2150,2175,2162.5,175,13.228756555322953
2175,2200,2187.5,168,12.96148139681572
2200,2225,2212.5,181,13.45362404707371
2225,2250,2237.5,164,12.806248474865697
2250,2275,2262.5,184,13.564659966250536
2275,2300,2287.5,163,12.767145334803704
2300,2325,2312.5,132,11.489125293076057
2325,2350,2337.5,158,12.569805089976535
2350,2375,2362.5,168,12.96148139681572
2375,2400,2387.5,200,14.142135623730951
2400,2425,2412.5,158,12.569805089976535
2425,2450,2437.5,178,13.341664064126334
2450,2475,2462.5,204,14.2828568570857
2475,2500,2487.5,147,12.12435565298214
2500,2525,2512.5,171,13.076696830622021
2525,2550,2537.5,178,13.341664064126334
2550,2575,2562.5,177,13.30413469565007
2575,2600,2587.5,175,13.228756555322953
2600,2625,2612.5,178,13.341664064126334
2625,2650,2637.5,158,12.569805089976535
2650,2675,2662.5,178,13.341664064126334
2675,2700,2687.5,182,13.490737563232042
2700,2725,2712.5,151,12.288205727444508
2725,2750,2737.5,152,12.328828005937952
2750,2775,2762.5,189,13.74772708486752
2775,2800,2787.5,160,12.649110640673518
2800,2825,2812.5,191,13.820274961085254
2825,2850,2837.5,154,12.409673645990857
2850,2875,2862.5,175,13.228756555322953
2875,2900,2887.5,155,12.449899597988733
2900,2925,2912.5,175,13.228756555322953
2925,2950,2937.5,180,13.416407864998739
2950,2975,2962.5,159,12.609520212918492
2975,3000,2987.5,166,12.884098726725126
3000,3025,3012.5,173,13.152946437965905
3025,3050,3037.5,161,12.68857754044952
3050,3075,3062.5,183,13.527749258468683
3075,3100,3087.5,174,13.19090595827292
3100,3125,3112.5,205,14.317821063276353
3125,3150,3137.5,146,12.083045973594572
3150,3175,3162.5,176,13.2664991614216
3175,3200,3187.5,167,12.922847983320086
3200,3225,3212.5,156,12.489995996796797
3225,3250,3237.5,164,12.806248474865697
3250,3275,3262.5,169,13.0
3275,3300,3287.5,176,13.2664991614216
3300,3325,3312.5,168,12.96148139681572
3325,3350,3337.5,156,12.489995996796797
3350,3375,3362.5,161,12.68857754044952
3375,3400,3387.5,158,12.569805089976535
3400,3425,3412.5,147,12.12435565298214
3425,3450,3437.5,173,13.152946437965905
3450,3475,3462.5,199,14.106735979665885
