VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0,75,37.5,520,22.80350850198276
75,150,112.5,528,22.978250586152114
150,225,187.5,542,23.280893453645632
225,300,262.5,514,22.67156809750927
300,375,337.5,555,23.558437978779494
375,450,412.5,500,22.360679774997898
450,525,487.5,538,23.194827009486403
525,600,562.5,494,22.22611077089287
600,675,637.5,514,22.67156809750927
675,750,712.5,518,22.759613353482084
750,825,787.5,543,23.302360395462088
825,900,862.5,532,23.065125189341593
900,975,937.5,562,23.706539182259394
975,1050,1012.5,508,22.538855339169288
1050,1125,1087.5,525,22.9128784747792
1125,1200,1162.5,513,22.64950330581225
1200,1275,1237.5,511,22.60530911091463
1275,1350,1312.5,571,23.895606290697042
1350,1425,1387.5,510,22.58317958127243
1425,1500,1462.5,577,24.020824298928627
1500,1575,1537.5,502,22.40535650240808
1575,1650,1612.5,500,22.360679774997898
1650,1725,1687.5,493,22.20360331117452
1725,1800,1762.5,509,22.561028345356956
1800,1875,1837.5,505,22.47220505424423
1875,1950,1912.5,532,23.065125189341593
1950,2025,1987.5,509,22.561028345356956
2025,2100,2062.5,556,23.57965224510319
2100,2175,2137.5,509,22.561028345356956
2175,2250,2212.5,510,22.58317958127243
2250,2325,2287.5,561,23.68543856465402
2325,2400,2362.5,526,22.93468988235943
2400,2475,2437.5,535,23.130067012440755
2475,2550,2512.5,530,23.021728866442675
2550,2625,2587.5,529,23.0
2625,2700,2662.5,524,22.891046284519195
2700,2775,2737.5,504,22.44994432064365
2775,2850,2812.5,539,23.2163735324878
2850,2925,2887.5,507,22.516660498395403
2925,3000,2962.5,508,22.538855339169288
3000,3075,3037.5,524,22.891046284519195
3075,3150,3112.5,543,23.302360395462088
3150,3225,3187.5,534,23.108440016582687
3225,3300,3262.5,569,23.853720883753127
3300,3375,3337.5,507,22.516660498395403
3375,3450,3412.5,551,23.473389188611005
3450,3525,3487.5,459,21.42428528562855
3525,3600,3562.5,481,21.93171219946131
