VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0,50,25.0,339,18.411952639521967
50,100,75.0,341,18.466185312619388
100,150,125.0,368,19.183326093250876
150,200,175.0,370,19.235384061671343
200,250,225.0,332,18.2208671582886
250,300,275.0,354,18.81488772222678
300,350,325.0,372,19.28730152198591
350,400,375.0,348,18.65475810617763
400,450,425.0,335,18.303005217723125
450,500,475.0,335,18.303005217723125
500,550,525.0,356,18.867962264113206
550,600,575.0,341,18.466185312619388
600,650,625.0,334,18.275666882497067
650,700,675.0,342,18.49324200890693
700,750,725.0,356,18.867962264113206
750,800,775.0,363,19.05255888325765
800,850,825.0,356,18.867962264113206
850,900,875.0,356,18.867962264113206
900,950,925.0,378,19.44222209522358
950,1000,975.0,364,19.078784028338912
1000,1050,1025.0,328,18.110770276274835
1050,1100,1075.0,361,19.0
1100,1150,1125.0,326,18.05547008526779
1150,1200,1175.0,351,18.734993995195193
1200,1250,1225.0,338,18.384776310850235
1250,1300,1275.0,368,19.183326093250876
1300,1350,1325.0,376,19.390719429665317
1350,1400,1375.0,314,17.72004514666935
1400,1450,1425.0,377,19.4164878389476
1450,1500,1475.0,396,19.8997487421324
1500,1550,1525.0,318,17.832554500127006
1550,1600,1575.0,344,18.547236990991408
1600,1650,1625.0,340,18.439088914585774
1650,1700,1675.0,330,18.16590212458495
1700,1750,1725.0,335,18.303005217723125
1750,1800,1775.0,337,18.35755975068582
1800,1850,1825.0,329,18.138357147217054
1850,1900,1875.0,356,18.867962264113206
1900,1950,1925.0,352,18.76166303929372
1950,2000,1975.0,326,18.05547008526779
2000,2050,2025.0,372,19.28730152198591
2050,2100,2075.0,367,19.157244060668017
2100,2150,2125.0,337,18.35755975068582
2150,2200,2175.0,340,18.439088914585774
2200,2250,2225.0,342,18.49324200890693
2250,2300,2275.0,394,19.849433241279208
2300,2350,2325.0,334,18.275666882497067
2350,2400,2375.0,359,18.947295321496416
2400,2450,2425.0,363,19.05255888325765
2450,2500,2475.0,352,18.76166303929372
2500,2550,2525.0,350,18.708286933869708
2550,2600,2575.0,337,18.35755975068582
2600,2650,2625.0,374,19.339079605813716
2650,2700,2675.0,342,18.49324200890693
2700,2750,2725.0,341,18.466185312619388
2750,2800,2775.0,362,19.026297590440446
2800,2850,2825.0,340,18.439088914585774
2850,2900,2875.0,339,18.411952639521967
2900,2950,2925.0,335,18.303005217723125
2950,3000,2975.0,341,18.466185312619388
3000,3050,3025.0,334,18.275666882497067
3050,3100,3075.0,380,19.493588689617926
3100,3150,3125.0,353,18.788294228055936
3150,3200,3175.0,337,18.35755975068582
3200,3250,3225.0,382,19.544820285692065
3250,3300,3275.0,384,19.595917942265423
3300,3350,3325.0,323,17.97220075561143
3350,3400,3375.0,364,19.078784028338912
3400,3450,3425.0,371,19.261360284258224
3450,3500,3475.0,301,17.349351572897472
3500,3550,3525.0,314,17.72004514666935
3550,3600,3575.0,325,18.027756377319946
