VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0,25,12.5,653,25.553864678361276
25,50,37.5,663,25.748786379167466
50,75,62.5,626,25.019992006393608
75,100,87.5,630,25.099800796022265
100,125,112.5,700,26.457513110645905
125,150,137.5,641,25.317977802344327
150,175,162.5,636,25.219040425836983
175,200,187.5,675,25.98076211353316
200,225,212.5,617,24.839484696748443
225,250,237.5,644,25.37715508089904
250,275,262.5,626,25.019992006393608
275,300,287.5,627,25.03996805109783
300,325,312.5,670,25.88435821108957
325,350,337.5,678,26.038433132583073
350,375,362.5,625,25.0
375,400,387.5,645,25.39685019840059
400,425,412.5,662,25.729360660537214
425,450,437.5,662,25.729360660537214
450,475,462.5,633,25.15949125081825
475,500,487.5,660,25.69046515733026
500,525,512.5,656,25.612496949731394
525,550,537.5,649,25.475478405713993
550,575,562.5,610,24.698178070456937
575,600,587.5,661,25.709920264364882
600,625,612.5,675,25.98076211353316
625,650,637.5,677,26.019223662515376
650,675,662.5,655,25.592967784139454
675,700,687.5,602,24.535688292770594
700,725,712.5,623,24.95996794869737
725,750,737.5,635,25.199206336708304
750,775,762.5,680,26.076809620810597
775,800,787.5,664,25.768197453450252
800,825,812.5,663,25.748786379167466
825,850,837.5,662,25.729360660537214
850,875,862.5,644,25.37715508089904
875,900,887.5,684,26.153393661244042
900,925,912.5,652,25.534290669607408
925,950,937.5,718,26.795522013948524
950,975,962.5,619,24.879710609249457
975,1000,987.5,682,26.115129714401192
1000,1025,1012.5,609,24.677925358506133
1025,1050,1037.5,622,24.939927826679853
1050,1075,1062.5,684,26.153393661244042
1075,1100,1087.5,629,25.079872407968907
1100,1125,1112.5,683,26.13426869074396
1125,1150,1137.5,656,25.612496949731394
1150,1175,1162.5,669,25.865034312755125
1175,1200,1187.5,629,25.079872407968907
1200,1225,1212.5,622,24.939927826679853
1225,1250,1237.5,681,26.095976701399778
1250,1275,1262.5,653,25.553864678361276
1275,1300,1287.5,658,25.65151067676132
1300,1325,1312.5,641,25.317977802344327
1325,1350,1337.5,713,26.70205984563738
1350,1375,1362.5,628,25.059928172283335
1375,1400,1387.5,654,25.573423705088842
1400,1425,1412.5,644,25.37715508089904
1425,1450,1437.5,640,25.298221281347036
1450,1475,1462.5,673,25.942243542145693
1475,1500,1487.5,688,26.229754097208
1500,1525,1512.5,638,25.25866188063018
1525,1550,1537.5,651,25.514701644346147
1550,1575,1562.5,695,26.362852652928137
1575,1600,1587.5,625,25.0
1600,1625,1612.5,673,25.942243542145693
1625,1650,1637.5,632,25.13961017995307
1650,1675,1662.5,633,25.15949125081825
1675,1700,1687.5,594,24.372115213907882
1700,1725,1712.5,648,25.45584412271571
1725,1750,1737.5,643,25.357444666211933
1750,1775,1762.5,647,25.436194683953808
1775,1800,1787.5,620,24.899799195977465
1800,1825,1812.5,622,24.939927826679853
1825,1850,1837.5,631,25.11971337416094
1850,1875,1862.5,637,25.238858928247925
1875,1900,1887.5,654,25.573423705088842
1900,1925,1912.5,659,25.67099530598687
1925,1950,1937.5,644,25.37715508089904
1950,1975,1962.5,658,25.65151067676132
1975,2000,1987.5,629,25.079872407968907
2000,2025,2012.5,666,25.80697580112788
2025,2050,2037.5,683,26.13426869074396
2050,2075,2062.5,713,26.70205984563738
2075,2100,2087.5,701,26.476404589747453
2100,2125,2112.5,663,25.748786379167466
2125,2150,2137.5,651,25.514701644346147
2150,2175,2162.5,668,25.84569596664017
2175,2200,2187.5,693,26.324893162176366
2200,2225,2212.5,639,25.278449319529077
2225,2250,2237.5,671,25.903667693977237
2250,2275,2262.5,634,25.179356624028344
2275,2300,2287.5,639,25.278449319529077
2300,2325,2312.5,616,24.819347291981714
2325,2350,2337.5,622,24.939927826679853
2350,2375,2362.5,641,25.317977802344327
2375,2400,2387.5,674,25.96150997149434
