VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0,25,12.5,1949,44.14748010928823
25,50,37.5,1961,44.28317965096906
50,75,62.5,1939,44.034077712607996
75,100,87.5,2019,44.93328387732194
100,125,112.5,2016,44.8998886412873
125,150,137.5,2010,44.83302354291979
150,175,162.5,2003,44.75488800120049
175,200,187.5,1992,44.63182720884279
200,225,212.5,1911,43.71498598878879
225,250,237.5,1884,43.40506882842141
250,275,262.5,1884,43.40506882842141
275,300,287.5,1917,43.78355855797927
300,325,312.5,1994,44.654227123532216
325,350,337.5,1987,44.57577817604534
350,375,362.5,1993,44.64302857109943
375,400,387.5,1923,43.8520238985614
400,425,412.5,2000,44.721359549995796
425,450,437.5,2026,45.0111097397076
450,475,462.5,1949,44.14748010928823
475,500,487.5,1980,44.49719092257398
500,525,512.5,1937,44.01136216933077
525,550,537.5,2001,44.73253849269008
550,575,562.5,1951,44.170125650715555
575,600,587.5,1985,44.553338819890925
600,625,612.5,1991,44.62062303464621
625,650,637.5,2092,45.73838650411709
650,675,662.5,2040,45.16635916254486
675,700,687.5,1865,43.18564576337837
700,725,712.5,1994,44.654227123532216
725,750,737.5,1943,44.07947368106838
750,775,762.5,2121,46.05431575867782
775,800,787.5,1978,44.474711915874174
800,825,812.5,1979,44.48595283907045
825,850,837.5,1902,43.61192497471305
850,875,862.5,1972,44.40720662234904
875,900,887.5,1997,44.68780594300866
900,925,912.5,1989,44.598206241955516
925,950,937.5,2042,45.18849411078001
950,975,962.5,1981,44.50842616853577
975,1000,987.5,1999,44.710177812216315
1000,1025,1012.5,1993,44.64302857109943
1025,1050,1037.5,1913,43.73785545725808
1050,1075,1062.5,2045,45.221676218380054
1075,1100,1087.5,1944,44.090815370097204
1100,1125,1112.5,1977,44.46346815083142
1125,1150,1137.5,1996,44.67661580737735
1150,1175,1162.5,1887,43.439613257946945
1175,1200,1187.5,1943,44.07947368106838
1200,1225,1212.5,1913,43.73785545725808
1225,1250,1237.5,1945,44.10215414239989
1250,1275,1262.5,1928,43.9089968002003
1275,1300,1287.5,1928,43.9089968002003
1300,1325,1312.5,1979,44.48595283907045
1325,1350,1337.5,2021,44.955533585978046
1350,1375,1362.5,1984,44.54211490264017
1375,1400,1387.5,2009,44.82186966202994
1400,1425,1412.5,1954,44.204072210600685
1425,1450,1437.5,2113,45.967379738244816
1450,1475,1462.5,2001,44.73253849269008
1475,1500,1487.5,2050,45.27692569068709
1500,1525,1512.5,1965,44.328320518603
1525,1550,1537.5,1996,44.67661580737735
1550,1575,1562.5,2027,45.02221673796171
1575,1600,1587.5,1926,43.88621651498338
1600,1625,1612.5,1980,44.49719092257398
1625,1650,1637.5,1954,44.204072210600685
1650,1675,1662.5,1906,43.657759905886145
1675,1700,1687.5,1957,44.23799272118933
1700,1725,1712.5,1955,44.21538193886829
1725,1750,1737.5,1960,44.27188724235731
1750,1775,1762.5,2005,44.77722635447622
1775,1800,1787.5,1937,44.01136216933077
1800,1825,1812.5,1940,44.04543109109048
1825,1850,1837.5,1923,43.8520238985614
1850,1875,1862.5,2019,44.93328387732194
1875,1900,1887.5,1926,43.88621651498338
1900,1925,1912.5,1932,43.95452195167182
1925,1950,1937.5,1951,44.170125650715555
1950,1975,1962.5,1948,44.13615298142782
1975,2000,1987.5,1888,43.45112196480086
2000,2025,2012.5,1914,43.749285708454714
2025,2050,2037.5,2008,44.81071300481616
2050,2075,2062.5,1998,44.69899327725402
2075,2100,2087.5,2058,45.36518488885502
2100,2125,2112.5,2007,44.799553569204235
2125,2150,2137.5,1945,44.10215414239989
2150,2175,2162.5,2062,45.40925015897091
2175,2200,2187.5,2010,44.83302354291979
2200,2225,2212.5,2019,44.93328387732194
2225,2250,2237.5,1969,44.37341546466758
2250,2275,2262.5,1932,43.95452195167182
2275,2300,2287.5,1996,44.67661580737735
2300,2325,2312.5,1929,43.9203825119955
2325,2350,2337.5,1945,44.10215414239989
2350,2375,2362.5,1978,44.474711915874174
2375,2400,2387.5,1974,44.429719783046124
2400,2425,2412.5,2046,45.232731511594565
2425,2450,2437.5,2095,45.77116996538323
2450,2475,2462.5,1980,44.49719092257398
2475,2500,2487.5,2039,45.155287619502545
2500,2525,2512.5,1944,44.090815370097204
2525,2550,2537.5,1982,44.51965857910413
2550,2575,2562.5,2015,44.88875137492688
2575,2600,2587.5,2025,45.0
2600,2625,2612.5,1940,44.04543109109048
2625,2650,2637.5,1924,43.86342439892262
2650,2675,2662.5,1984,44.54211490264017
2675,2700,2687.5,1998,44.69899327725402
2700,2725,2712.5,2014,44.87761134463375
2725,2750,2737.5,1942,44.06812907306141
2750,2775,2762.5,2033,45.088801270381985
2775,2800,2787.5,1960,44.27188724235731
2800,2825,2812.5,2014,44.87761134463375
2825,2850,2837.5,1922,43.840620433565945
