VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0,25,12.5,169,13.0
25,50,37.5,184,13.564659966250536
50,75,62.5,158,12.569805089976535
75,100,87.5,157,12.529964086141668
100,125,112.5,168,12.96148139681572
125,150,137.5,154,12.409673645990857
150,175,162.5,154,12.409673645990857
175,200,187.5,189,13.74772708486752
200,225,212.5,166,12.884098726725126
225,250,237.5,171,13.076696830622021
250,275,262.5,159,12.609520212918492
275,300,287.5,166,12.884098726725126
300,325,312.5,156,12.489995996796797
325,350,337.5,174,13.19090595827292
350,375,362.5,165,12.84523257866513
375,400,387.5,151,12.288205727444508
400,425,412.5,163,12.767145334803704
425,450,437.5,175,13.228756555322953
450,475,462.5,161,12.68857754044952
475,500,487.5,166,12.884098726725126
500,525,512.5,155,12.449899597988733
525,550,537.5,161,12.68857754044952
550,575,562.5,163,12.767145334803704
575,600,587.5,188,13.711309200802088
600,625,612.5,162,12.727922061357855
625,650,637.5,164,12.806248474865697
650,675,662.5,162,12.727922061357855
675,700,687.5,159,12.609520212918492
700,725,712.5,140,11.832159566199232
725,750,737.5,177,13.30413469565007
750,775,762.5,171,13.076696830622021
775,800,787.5,164,12.806248474865697
800,825,812.5,162,12.727922061357855
825,850,837.5,162,12.727922061357855
850,875,862.5,166,12.884098726725126
875,900,887.5,177,13.30413469565007
900,925,912.5,170,13.038404810405298
925,950,937.5,170,13.038404810405298
950,975,962.5,171,13.076696830622021
975,1000,987.5,175,13.228756555322953
1000,1025,1012.5,176,13.2664991614216
1025,1050,1037.5,163,12.767145334803704
1050,1075,1062.5,145,12.041594578792296
1075,1100,1087.5,171,13.076696830622021
1100,1125,1112.5,157,12.529964086141668
1125,1150,1137.5,163,12.767145334803704
1150,1175,1162.5,172,13.114877048604
1175,1200,1187.5,165,12.84523257866513
1200,1225,1212.5,148,12.165525060596439
1225,1250,1237.5,191,13.820274961085254
1250,1275,1262.5,167,12.922847983320086
1275,1300,1287.5,168,12.96148139681572
1300,1325,1312.5,160,12.649110640673518
1325,1350,1337.5,198,14.071247279470288
1350,1375,1362.5,166,12.884098726725126
1375,1400,1387.5,170,13.038404810405298
1400,1425,1412.5,184,13.564659966250536
1425,1450,1437.5,179,13.379088160259652
1450,1475,1462.5,181,13.45362404707371
1475,1500,1487.5,186,13.638181696985855
1500,1525,1512.5,171,13.076696830622021
1525,1550,1537.5,173,13.152946437965905
1550,1575,1562.5,178,13.341664064126334
1575,1600,1587.5,143,11.958260743101398
1600,1625,1612.5,187,13.674794331177344
1625,1650,1637.5,147,12.12435565298214
1650,1675,1662.5,165,12.84523257866513
1675,1700,1687.5,146,12.083045973594572
1700,1725,1712.5,157,12.529964086141668
1725,1750,1737.5,166,12.884098726725126
1750,1775,1762.5,139,11.789826122551595
1775,1800,1787.5,170,13.038404810405298
1800,1825,1812.5,151,12.288205727444508
1825,1850,1837.5,166,12.884098726725126
1850,1875,1862.5,174,13.19090595827292
1875,1900,1887.5,178,13.341664064126334
1900,1925,1912.5,186,13.638181696985855
1925,1950,1937.5,180,13.416407864998739
