VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0,25,12.5,155,12.449899597988733
25,50,37.5,184,13.564659966250536
50,75,62.5,181,13.45362404707371
75,100,87.5,160,12.649110640673518
100,125,112.5,183,13.527749258468683
125,150,137.5,185,13.601470508735444
150,175,162.5,186,13.638181696985855
175,200,187.5,184,13.564659966250536
200,225,212.5,172,13.114877048604
225,250,237.5,160,12.649110640673518
250,275,262.5,176,13.2664991614216
275,300,287.5,178,13.341664064126334
300,325,312.5,193,13.892443989449804
325,350,337.5,179,13.379088160259652
350,375,362.5,183,13.527749258468683
375,400,387.5,165,12.84523257866513
400,425,412.5,154,12.409673645990857
425,450,437.5,181,13.45362404707371
450,475,462.5,176,13.2664991614216
475,500,487.5,159,12.609520212918492
500,525,512.5,203,14.247806848775006
525,550,537.5,153,12.36931687685298
550,575,562.5,168,12.96148139681572
575,600,587.5,173,13.152946437965905
600,625,612.5,172,13.114877048604
625,650,637.5,162,12.727922061357855
650,675,662.5,180,13.416407864998739
675,700,687.5,162,12.727922061357855
700,725,712.5,177,13.30413469565007
725,750,737.5,179,13.379088160259652
750,775,762.5,186,13.638181696985855
775,800,787.5,177,13.30413469565007
800,825,812.5,180,13.416407864998739
825,850,837.5,176,13.2664991614216
850,875,862.5,171,13.076696830622021
875,900,887.5,185,13.601470508735444
900,925,912.5,187,13.674794331177344
925,950,937.5,191,13.820274961085254
950,975,962.5,184,13.564659966250536
975,1000,987.5,180,13.416407864998739
1000,1025,1012.5,167,12.922847983320086
1025,1050,1037.5,161,12.68857754044952
1050,1075,1062.5,188,13.711309200802088
1075,1100,1087.5,173,13.152946437965905
1100,1125,1112.5,164,12.806248474865697
1125,1150,1137.5,162,12.727922061357855
1150,1175,1162.5,188,13.711309200802088
1175,1200,1187.5,163,12.767145334803704
1200,1225,1212.5,173,13.152946437965905
1225,1250,1237.5,165,12.84523257866513
1250,1275,1262.5,173,13.152946437965905
1275,1300,1287.5,195,13.96424004376894
1300,1325,1312.5,174,13.19090595827292
1325,1350,1337.5,202,14.212670403551895
1350,1375,1362.5,154,12.409673645990857
1375,1400,1387.5,160,12.649110640673518
1400,1425,1412.5,196,14.0
1425,1450,1437.5,181,13.45362404707371
1450,1475,1462.5,198,14.071247279470288
1475,1500,1487.5,198,14.071247279470288
1500,1525,1512.5,156,12.489995996796797
1525,1550,1537.5,162,12.727922061357855
1550,1575,1562.5,184,13.564659966250536
1575,1600,1587.5,160,12.649110640673518
1600,1625,1612.5,191,13.820274961085254
1625,1650,1637.5,149,12.206555615733702
1650,1675,1662.5,178,13.341664064126334
1675,1700,1687.5,152,12.328828005937952
1700,1725,1712.5,163,12.767145334803704
1725,1750,1737.5,172,13.114877048604
1750,1775,1762.5,180,13.416407864998739
1775,1800,1787.5,157,12.529964086141668
1800,1825,1812.5,165,12.84523257866513
1825,1850,1837.5,164,12.806248474865697
1850,1875,1862.5,176,13.2664991614216
1875,1900,1887.5,180,13.416407864998739
1900,1925,1912.5,170,13.038404810405298
1925,1950,1937.5,182,13.490737563232042
1950,1975,1962.5,168,12.96148139681572
1975,2000,1987.5,158,12.569805089976535
2000,2025,2012.5,183,13.527749258468683
2025,2050,2037.5,189,13.74772708486752
2050,2075,2062.5,187,13.674794331177344
2075,2100,2087.5,180,13.416407864998739
2100,2125,2112.5,171,13.076696830622021
2125,2150,2137.5,166,12.884098726725126
2150,2175,2162.5,172,13.114877048604
2175,2200,2187.5,168,12.96148139681572
2200,2225,2212.5,176,13.2664991614216
2225,2250,2237.5,166,12.884098726725126
2250,2275,2262.5,183,13.527749258468683
2275,2300,2287.5,211,14.52583904633395
2300,2325,2312.5,167,12.922847983320086
2325,2350,2337.5,167,12.922847983320086
2350,2375,2362.5,165,12.84523257866513
2375,2400,2387.5,194,13.92838827718412
2400,2425,2412.5,169,13.0
2425,2450,2437.5,194,13.92838827718412
2450,2475,2462.5,172,13.114877048604
2475,2500,2487.5,180,13.416407864998739
2500,2525,2512.5,179,13.379088160259652
2525,2550,2537.5,171,13.076696830622021
2550,2575,2562.5,169,13.0
2575,2600,2587.5,168,12.96148139681572
2600,2625,2612.5,192,13.856406460551018
2625,2650,2637.5,182,13.490737563232042
2650,2675,2662.5,169,13.0
2675,2700,2687.5,173,13.152946437965905
2700,2725,2712.5,160,12.649110640673518
2725,2750,2737.5,181,13.45362404707371
2750,2775,2762.5,163,12.767145334803704
2775,2800,2787.5,199,14.106735979665885
2800,2825,2812.5,174,13.19090595827292
2825,2850,2837.5,166,12.884098726725126
2850,2875,2862.5,158,12.569805089976535
2875,2900,2887.5,181,13.45362404707371
2900,2925,2912.5,168,12.96148139681572
2925,2950,2937.5,167,12.922847983320086
2950,2975,2962.5,175,13.228756555322953
2975,3000,2987.5,166,12.884098726725126
3000,3025,3012.5,173,13.152946437965905
3025,3050,3037.5,161,12.68857754044952
3050,3075,3062.5,190,13.784048752090222
3075,3100,3087.5,190,13.784048752090222
3100,3125,3112.5,186,13.638181696985855
3125,3150,3137.5,167,12.922847983320086
3150,3175,3162.5,159,12.609520212918492
3175,3200,3187.5,178,13.341664064126334
