VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0,25,12.5,2415,49.14264950122246
25,50,37.5,2406,49.05099387372289
50,75,62.5,2349,48.46648326421054
75,100,87.5,2476,49.759421218498915
100,125,112.5,2455,49.54795656734998
125,150,137.5,2457,49.56813492557492
150,175,162.5,2471,49.70915408654627
175,200,187.5,2480,49.79959839195493
200,225,212.5,2369,48.67237409455183
225,250,237.5,2319,48.155996511338024
250,275,262.5,2291,47.86439177509728
275,300,287.5,2340,48.373546489791295
300,325,312.5,2452,49.51767361255979
325,350,337.5,2421,49.20365840057018
350,375,362.5,2440,49.39635614091387
375,400,387.5,2392,48.908077042549934
400,425,412.5,2431,49.3051721424842
425,450,437.5,2473,49.72926703662542
450,475,462.5,2420,49.193495504995376
475,500,487.5,2455,49.54795656734998
500,525,512.5,2418,49.17316341257699
525,550,537.5,2477,49.76946855251722
550,575,562.5,2388,48.86716689148246
575,600,587.5,2432,49.31531202375181
600,625,612.5,2450,49.49747468305833
625,650,637.5,2550,50.49752469181039
650,675,662.5,2502,50.0199960015992
675,700,687.5,2360,48.579831205964474
700,725,712.5,2468,49.678969393496885
725,750,737.5,2397,48.95916665957459
750,775,762.5,2584,50.83306010855534
775,800,787.5,2425,49.24428900898052
800,825,812.5,2413,49.122296363260546
825,850,837.5,2370,48.68264577855234
850,875,862.5,2430,49.29503017546495
875,900,887.5,2400,48.98979485566356
900,925,912.5,2414,49.13247398615299
925,950,937.5,2486,49.85980344927164
950,975,962.5,2367,48.65182422068057
975,1000,987.5,2411,49.10193478876367
1000,1025,1012.5,2469,49.68903299521938
1025,1050,1037.5,2400,48.98979485566356
1050,1075,1062.5,2483,49.82971001320397
1075,1100,1087.5,2367,48.65182422068057
1100,1125,1112.5,2416,49.15282290977803
1125,1150,1137.5,2459,49.58830507286975
1150,1175,1162.5,2329,48.25971404805462
1175,1200,1187.5,2408,49.07137658554119
1200,1225,1212.5,2351,48.48711168960263
1225,1250,1237.5,2361,48.590122453025366
1250,1275,1262.5,2380,48.78524367060187
1275,1300,1287.5,2383,48.815980989835694
1300,1325,1312.5,2476,49.759421218498915
1325,1350,1337.5,2440,49.39635614091387
1350,1375,1362.5,2389,48.877397639399746
1375,1400,1387.5,2459,49.58830507286975
1400,1425,1412.5,2420,49.193495504995376
1425,1450,1437.5,2570,50.695167422546305
1450,1475,1462.5,2476,49.759421218498915
1475,1500,1487.5,2507,50.06995106848019
1500,1525,1512.5,2401,49.0
1525,1550,1537.5,2467,49.66890375275057
1550,1575,1562.5,2465,49.64876634922564
1575,1600,1587.5,2398,48.96937818678118
1600,1625,1612.5,2411,49.10193478876367
1625,1650,1637.5,2420,49.193495504995376
1650,1675,1662.5,2341,48.38388161361178
1675,1700,1687.5,2414,49.13247398615299
1700,1725,1712.5,2380,48.78524367060187
1725,1750,1737.5,2421,49.20365840057018
1750,1775,1762.5,2478,49.77951385861457
1775,1800,1787.5,2357,48.54894437575342
1800,1825,1812.5,2395,48.938737212968626
1825,1850,1837.5,2341,48.38388161361178
1850,1875,1862.5,2456,49.558046773455466
1875,1900,1887.5,2364,48.620983124572874
1900,1925,1912.5,2374,48.72371086031933
1925,1950,1937.5,2418,49.17316341257699
1950,1975,1962.5,2377,48.75448697299562
1975,2000,1987.5,2341,48.38388161361178
2000,2025,2012.5,2342,48.394214530251446
2025,2050,2037.5,2451,49.50757517794625
2050,2075,2062.5,2458,49.57822102496216
2075,2100,2087.5,2493,49.92995093127971
2100,2125,2112.5,2423,49.22397789695587
2125,2150,2137.5,2367,48.65182422068057
2150,2175,2162.5,2500,50.0
2175,2200,2187.5,2459,49.58830507286975
2200,2225,2212.5,2454,49.53786430600334
2225,2250,2237.5,2414,49.13247398615299
2250,2275,2262.5,2366,48.641546028061235
2275,2300,2287.5,2473,49.72926703662542
2300,2325,2312.5,2313,48.093658625644196
2325,2350,2337.5,2354,48.518037882832814
2350,2375,2362.5,2420,49.193495504995376
2375,2400,2387.5,2431,49.3051721424842
2400,2425,2412.5,2430,49.29503017546495
2425,2450,2437.5,2555,50.547007824400445
2450,2475,2462.5,2431,49.3051721424842
2475,2500,2487.5,2487,49.86983055916673
2500,2525,2512.5,2367,48.65182422068057
2525,2550,2537.5,2452,49.51767361255979
2550,2575,2562.5,2473,49.72926703662542
2575,2600,2587.5,2463,49.628620774710235
2600,2625,2612.5,2413,49.122296363260546
2625,2650,2637.5,2388,48.86716689148246
2650,2675,2662.5,2453,49.52776998815917
2675,2700,2687.5,2444,49.4368283772331
2700,2725,2712.5,2448,49.47726750741192
2725,2750,2737.5,2396,48.948953002081666
2750,2775,2762.5,2477,49.76946855251722
2775,2800,2787.5,2397,48.95916665957459
2800,2825,2812.5,2491,49.90991885387112
2825,2850,2837.5,2372,48.703182647543684
2850,2875,2862.5,2402,49.01020301937138
2875,2900,2887.5,2451,49.50757517794625
2900,2925,2912.5,2432,49.31531202375181
2925,2950,2937.5,2429,49.28488612140643
2950,2975,2962.5,2390,48.88762624632127
2975,3000,2987.5,2417,49.16299421312742
3000,3025,3012.5,2467,49.66890375275057
3025,3050,3037.5,2394,48.92851929090027
