VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0,25,12.5,150,12.24744871391589
25,50,37.5,183,13.527749258468683
50,75,62.5,174,13.19090595827292
75,100,87.5,193,13.892443989449804
100,125,112.5,179,13.379088160259652
125,150,137.5,184,13.564659966250536
150,175,162.5,175,13.228756555322953
175,200,187.5,154,12.409673645990857
200,225,212.5,163,12.767145334803704
225,250,237.5,158,12.569805089976535
250,275,262.5,186,13.638181696985855
275,300,287.5,170,13.038404810405298
300,325,312.5,196,14.0
325,350,337.5,173,13.152946437965905
350,375,362.5,182,13.490737563232042
375,400,387.5,169,13.0
400,425,412.5,160,12.649110640673518
425,450,437.5,170,13.038404810405298
450,475,462.5,177,13.30413469565007
475,500,487.5,170,13.038404810405298
500,525,512.5,167,12.922847983320086
525,550,537.5,157,12.529964086141668
550,575,562.5,166,12.884098726725126
575,600,587.5,173,13.152946437965905
600,625,612.5,154,12.409673645990857
625,650,637.5,176,13.2664991614216
650,675,662.5,168,12.96148139681572
675,700,687.5,148,12.165525060596439
700,725,712.5,175,13.228756555322953
725,750,737.5,156,12.489995996796797
750,775,762.5,188,13.711309200802088
775,800,787.5,203,14.247806848775006
800,825,812.5,168,12.96148139681572
825,850,837.5,187,13.674794331177344
850,875,862.5,154,12.409673645990857
875,900,887.5,188,13.711309200802088
900,925,912.5,180,13.416407864998739
925,950,937.5,166,12.884098726725126
950,975,962.5,171,13.076696830622021
975,1000,987.5,177,13.30413469565007
1000,1025,1012.5,185,13.601470508735444
1025,1050,1037.5,155,12.449899597988733
1050,1075,1062.5,185,13.601470508735444
1075,1100,1087.5,180,13.416407864998739
1100,1125,1112.5,166,12.884098726725126
1125,1150,1137.5,162,12.727922061357855
1150,1175,1162.5,182,13.490737563232042
1175,1200,1187.5,158,12.569805089976535
1200,1225,1212.5,143,11.958260743101398
1225,1250,1237.5,173,13.152946437965905
1250,1275,1262.5,173,13.152946437965905
1275,1300,1287.5,184,13.564659966250536
1300,1325,1312.5,150,12.24744871391589
1325,1350,1337.5,183,13.527749258468683
1350,1375,1362.5,175,13.228756555322953
1375,1400,1387.5,172,13.114877048604
1400,1425,1412.5,181,13.45362404707371
1425,1450,1437.5,166,12.884098726725126
1450,1475,1462.5,175,13.228756555322953
1475,1500,1487.5,193,13.892443989449804
1500,1525,1512.5,168,12.96148139681572
1525,1550,1537.5,162,12.727922061357855
1550,1575,1562.5,174,13.19090595827292
1575,1600,1587.5,163,12.767145334803704
1600,1625,1612.5,195,13.96424004376894
1625,1650,1637.5,159,12.609520212918492
1650,1675,1662.5,177,13.30413469565007
1675,1700,1687.5,150,12.24744871391589
1700,1725,1712.5,170,13.038404810405298
1725,1750,1737.5,150,12.24744871391589
1750,1775,1762.5,173,13.152946437965905
1775,1800,1787.5,174,13.19090595827292
1800,1825,1812.5,159,12.609520212918492
1825,1850,1837.5,173,13.152946437965905
1850,1875,1862.5,171,13.076696830622021
1875,1900,1887.5,168,12.96148139681572
1900,1925,1912.5,158,12.569805089976535
1925,1950,1937.5,171,13.076696830622021
1950,1975,1962.5,159,12.609520212918492
1975,2000,1987.5,165,12.84523257866513
2000,2025,2012.5,180,13.416407864998739
2025,2050,2037.5,176,13.2664991614216
2050,2075,2062.5,199,14.106735979665885
2075,2100,2087.5,179,13.379088160259652
2100,2125,2112.5,170,13.038404810405298
2125,2150,2137.5,173,13.152946437965905
2150,2175,2162.5,190,13.784048752090222
2175,2200,2187.5,180,13.416407864998739
2200,2225,2212.5,166,12.884098726725126
2225,2250,2237.5,179,13.379088160259652
2250,2275,2262.5,162,12.727922061357855
2275,2300,2287.5,185,13.601470508735444
