VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0,25,12.5,168,12.96148139681572
25,50,37.5,177,13.30413469565007
50,75,62.5,165,12.84523257866513
75,100,87.5,182,13.490737563232042
100,125,112.5,167,12.922847983320086
125,150,137.5,198,14.071247279470288
150,175,162.5,217,14.730919862656235
175,200,187.5,197,14.035668847618199
200,225,212.5,158,12.569805089976535
225,250,237.5,185,13.601470508735444
250,275,262.5,164,12.806248474865697
275,300,287.5,170,13.038404810405298
300,325,312.5,194,13.92838827718412
325,350,337.5,167,12.922847983320086
350,375,362.5,177,13.30413469565007
375,400,387.5,177,13.30413469565007
400,425,412.5,166,12.884098726725126
425,450,437.5,186,13.638181696985855
450,475,462.5,179,13.379088160259652
475,500,487.5,191,13.820274961085254
500,525,512.5,184,13.564659966250536
525,550,537.5,170,13.038404810405298
550,575,562.5,157,12.529964086141668
575,600,587.5,178,13.341664064126334
600,625,612.5,190,13.784048752090222
625,650,637.5,183,13.527749258468683
650,675,662.5,169,13.0
675,700,687.5,150,12.24744871391589
700,725,712.5,166,12.884098726725126
725,750,737.5,197,14.035668847618199
750,775,762.5,173,13.152946437965905
775,800,787.5,161,12.68857754044952
800,825,812.5,185,13.601470508735444
825,850,837.5,162,12.727922061357855
850,875,862.5,203,14.247806848775006
875,900,887.5,136,11.661903789690601
900,925,912.5,186,13.638181696985855
925,950,937.5,182,13.490737563232042
950,975,962.5,183,13.527749258468683
975,1000,987.5,180,13.416407864998739
1000,1025,1012.5,184,13.564659966250536
1025,1050,1037.5,190,13.784048752090222
1050,1075,1062.5,166,12.884098726725126
1075,1100,1087.5,148,12.165525060596439
1100,1125,1112.5,175,13.228756555322953
1125,1150,1137.5,179,13.379088160259652
1150,1175,1162.5,159,12.609520212918492
1175,1200,1187.5,172,13.114877048604
1200,1225,1212.5,186,13.638181696985855
1225,1250,1237.5,162,12.727922061357855
1250,1275,1262.5,176,13.2664991614216
1275,1300,1287.5,174,13.19090595827292
1300,1325,1312.5,188,13.711309200802088
1325,1350,1337.5,195,13.96424004376894
1350,1375,1362.5,148,12.165525060596439
1375,1400,1387.5,187,13.674794331177344
1400,1425,1412.5,171,13.076696830622021
1425,1450,1437.5,196,14.0
1450,1475,1462.5,202,14.212670403551895
1475,1500,1487.5,177,13.30413469565007
1500,1525,1512.5,189,13.74772708486752
1525,1550,1537.5,168,12.96148139681572
1550,1575,1562.5,157,12.529964086141668
1575,1600,1587.5,173,13.152946437965905
1600,1625,1612.5,177,13.30413469565007
1625,1650,1637.5,157,12.529964086141668
1650,1675,1662.5,198,14.071247279470288
1675,1700,1687.5,144,12.0
1700,1725,1712.5,179,13.379088160259652
1725,1750,1737.5,175,13.228756555322953
1750,1775,1762.5,170,13.038404810405298
1775,1800,1787.5,150,12.24744871391589
1800,1825,1812.5,178,13.341664064126334
1825,1850,1837.5,273,16.522711641858304
1850,1875,1862.5,281,16.76305461424021
1875,1900,1887.5,282,16.792855623746664
1900,1925,1912.5,279,16.703293088490067
1925,1950,1937.5,250,15.811388300841896
1950,1975,1962.5,254,15.937377450509228
1975,2000,1987.5,249,15.7797338380595
2000,2025,2012.5,253,15.905973720586866
2025,2050,2037.5,229,15.132745950421556
2050,2075,2062.5,243,15.588457268119896
2075,2100,2087.5,220,14.832396974191326
2100,2125,2112.5,222,14.89966442575134
2125,2150,2137.5,221,14.866068747318506
2150,2175,2162.5,196,14.0
2175,2200,2187.5,228,15.0996688705415
2200,2225,2212.5,227,15.066519173319364
2225,2250,2237.5,194,13.92838827718412
2250,2275,2262.5,209,14.45683229480096
2275,2300,2287.5,229,15.132745950421556
2300,2325,2312.5,210,14.491376746189438
2325,2350,2337.5,193,13.892443989449804
2350,2375,2362.5,208,14.422205101855956
2375,2400,2387.5,216,14.696938456699069
2400,2425,2412.5,219,14.798648586948742
2425,2450,2437.5,205,14.317821063276353
2450,2475,2462.5,202,14.212670403551895
2475,2500,2487.5,209,14.45683229480096
2500,2525,2512.5,191,13.820274961085254
2525,2550,2537.5,209,14.45683229480096
2550,2575,2562.5,193,13.892443989449804
2575,2600,2587.5,231,15.198684153570664
2600,2625,2612.5,203,14.247806848775006
2625,2650,2637.5,172,13.114877048604
2650,2675,2662.5,202,14.212670403551895
2675,2700,2687.5,194,13.92838827718412
2700,2725,2712.5,197,14.035668847618199
2725,2750,2737.5,217,14.730919862656235
2750,2775,2762.5,223,14.933184523068078
2775,2800,2787.5,211,14.52583904633395
2800,2825,2812.5,191,13.820274961085254
2825,2850,2837.5,180,13.416407864998739
2850,2875,2862.5,191,13.820274961085254
2875,2900,2887.5,198,14.071247279470288
2900,2925,2912.5,191,13.820274961085254
2925,2950,2937.5,197,14.035668847618199
2950,2975,2962.5,213,14.594519519326424
2975,3000,2987.5,213,14.594519519326424
3000,3025,3012.5,202,14.212670403551895
3025,3050,3037.5,168,12.96148139681572
3050,3075,3062.5,196,14.0
3075,3100,3087.5,185,13.601470508735444
3100,3125,3112.5,182,13.490737563232042
3125,3150,3137.5,195,13.96424004376894
3150,3175,3162.5,191,13.820274961085254
3175,3200,3187.5,175,13.228756555322953
3200,3225,3212.5,209,14.45683229480096
3225,3250,3237.5,220,14.832396974191326
3250,3275,3262.5,197,14.035668847618199
3275,3300,3287.5,170,13.038404810405298
3300,3325,3312.5,179,13.379088160259652
3325,3350,3337.5,185,13.601470508735444
3350,3375,3362.5,186,13.638181696985855
3375,3400,3387.5,187,13.674794331177344
3400,3425,3412.5,190,13.784048752090222
3425,3450,3437.5,169,13.0
3450,3475,3462.5,192,13.856406460551018
3475,3500,3487.5,186,13.638181696985855
3500,3525,3512.5,183,13.527749258468683
3525,3550,3537.5,203,14.247806848775006
3550,3575,3562.5,213,14.594519519326424
3575,3600,3587.5,202,14.212670403551895
