VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0,25,12.5,160,12.649110640673518
25,50,37.5,177,13.30413469565007
50,75,62.5,152,12.328828005937952
75,100,87.5,163,12.767145334803704
100,125,112.5,155,12.449899597988733
125,150,137.5,195,13.96424004376894
150,175,162.5,172,13.114877048604
175,200,187.5,165,12.84523257866513
200,225,212.5,167,12.922847983320086
225,250,237.5,169,13.0
250,275,262.5,152,12.328828005937952
275,300,287.5,155,12.449899597988733
300,325,312.5,184,13.564659966250536
325,350,337.5,151,12.288205727444508
350,375,362.5,170,13.038404810405298
375,400,387.5,157,12.529964086141668
400,425,412.5,169,13.0
425,450,437.5,180,13.416407864998739
450,475,462.5,182,13.490737563232042
475,500,487.5,182,13.490737563232042
500,525,512.5,186,13.638181696985855
525,550,537.5,153,12.36931687685298
550,575,562.5,178,13.341664064126334
575,600,587.5,162,12.727922061357855
600,625,612.5,191,13.820274961085254
625,650,637.5,182,13.490737563232042
650,675,662.5,152,12.328828005937952
675,700,687.5,141,11.874342087037917
700,725,712.5,174,13.19090595827292
725,750,737.5,174,13.19090595827292
750,775,762.5,166,12.884098726725126
775,800,787.5,170,13.038404810405298
800,825,812.5,184,13.564659966250536
825,850,837.5,160,12.649110640673518
850,875,862.5,163,12.767145334803704
875,900,887.5,150,12.24744871391589
900,925,912.5,173,13.152946437965905
925,950,937.5,156,12.489995996796797
950,975,962.5,173,13.152946437965905
975,1000,987.5,170,13.038404810405298
1000,1025,1012.5,174,13.19090595827292
1025,1050,1037.5,167,12.922847983320086
1050,1075,1062.5,161,12.68857754044952
1075,1100,1087.5,172,13.114877048604
1100,1125,1112.5,163,12.767145334803704
1125,1150,1137.5,151,12.288205727444508
1150,1175,1162.5,152,12.328828005937952
1175,1200,1187.5,167,12.922847983320086
1200,1225,1212.5,179,13.379088160259652
1225,1250,1237.5,155,12.449899597988733
1250,1275,1262.5,165,12.84523257866513
1275,1300,1287.5,183,13.527749258468683
1300,1325,1312.5,154,12.409673645990857
1325,1350,1337.5,164,12.806248474865697
1350,1375,1362.5,152,12.328828005937952
1375,1400,1387.5,173,13.152946437965905
1400,1425,1412.5,153,12.36931687685298
1425,1450,1437.5,169,13.0
1450,1475,1462.5,199,14.106735979665885
1475,1500,1487.5,172,13.114877048604
1500,1525,1512.5,172,13.114877048604
1525,1550,1537.5,172,13.114877048604
1550,1575,1562.5,182,13.490737563232042
1575,1600,1587.5,152,12.328828005937952
1600,1625,1612.5,156,12.489995996796797
1625,1650,1637.5,156,12.489995996796797
1650,1675,1662.5,160,12.649110640673518
1675,1700,1687.5,165,12.84523257866513
1700,1725,1712.5,167,12.922847983320086
1725,1750,1737.5,159,12.609520212918492
1750,1775,1762.5,191,13.820274961085254
1775,1800,1787.5,173,13.152946437965905
1800,1825,1812.5,98,9.899494936611665
1825,1850,1837.5,165,12.84523257866513
1850,1875,1862.5,194,13.92838827718412
1875,1900,1887.5,203,14.247806848775006
1900,1925,1912.5,202,14.212670403551895
1925,1950,1937.5,203,14.247806848775006
1950,1975,1962.5,183,13.527749258468683
1975,2000,1987.5,188,13.711309200802088
2000,2025,2012.5,196,14.0
2025,2050,2037.5,177,13.30413469565007
2050,2075,2062.5,188,13.711309200802088
2075,2100,2087.5,178,13.341664064126334
2100,2125,2112.5,178,13.341664064126334
2125,2150,2137.5,175,13.228756555322953
2150,2175,2162.5,174,13.19090595827292
2175,2200,2187.5,182,13.490737563232042
2200,2225,2212.5,191,13.820274961085254
2225,2250,2237.5,172,13.114877048604
2250,2275,2262.5,182,13.490737563232042
2275,2300,2287.5,188,13.711309200802088
2300,2325,2312.5,182,13.490737563232042
2325,2350,2337.5,162,12.727922061357855
2350,2375,2362.5,193,13.892443989449804
2375,2400,2387.5,178,13.341664064126334
2400,2425,2412.5,178,13.341664064126334
2425,2450,2437.5,158,12.569805089976535
2450,2475,2462.5,179,13.379088160259652
2475,2500,2487.5,188,13.711309200802088
2500,2525,2512.5,169,13.0
2525,2550,2537.5,178,13.341664064126334
2550,2575,2562.5,167,12.922847983320086
2575,2600,2587.5,206,14.352700094407323
2600,2625,2612.5,174,13.19090595827292
2625,2650,2637.5,165,12.84523257866513
2650,2675,2662.5,184,13.564659966250536
2675,2700,2687.5,170,13.038404810405298
2700,2725,2712.5,171,13.076696830622021
2725,2750,2737.5,203,14.247806848775006
2750,2775,2762.5,182,13.490737563232042
2775,2800,2787.5,176,13.2664991614216
2800,2825,2812.5,174,13.19090595827292
2825,2850,2837.5,168,12.96148139681572
2850,2875,2862.5,175,13.228756555322953
2875,2900,2887.5,172,13.114877048604
2900,2925,2912.5,167,12.922847983320086
2925,2950,2937.5,185,13.601470508735444
2950,2975,2962.5,192,13.856406460551018
2975,3000,2987.5,164,12.806248474865697
3000,3025,3012.5,174,13.19090595827292
3025,3050,3037.5,158,12.569805089976535
3050,3075,3062.5,170,13.038404810405298
3075,3100,3087.5,166,12.884098726725126
3100,3125,3112.5,178,13.341664064126334
3125,3150,3137.5,170,13.038404810405298
3150,3175,3162.5,161,12.68857754044952
3175,3200,3187.5,162,12.727922061357855
3200,3225,3212.5,202,14.212670403551895
3225,3250,3237.5,172,13.114877048604
3250,3275,3262.5,159,12.609520212918492
3275,3300,3287.5,171,13.076696830622021
3300,3325,3312.5,167,12.922847983320086
3325,3350,3337.5,151,12.288205727444508
3350,3375,3362.5,182,13.490737563232042
3375,3400,3387.5,162,12.727922061357855
3400,3425,3412.5,170,13.038404810405298
3425,3450,3437.5,164,12.806248474865697
3450,3475,3462.5,173,13.152946437965905
3475,3500,3487.5,160,12.649110640673518
3500,3525,3512.5,166,12.884098726725126
3525,3550,3537.5,203,14.247806848775006
3550,3575,3562.5,170,13.038404810405298
3575,3600,3587.5,173,13.152946437965905
