VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0,50,25.0,345,18.57417562100671
50,100,75.0,347,18.627936010197157
100,150,125.0,365,19.1049731745428
150,200,175.0,414,20.346989949375804
200,250,225.0,343,18.520259177452136
250,300,275.0,334,18.275666882497067
300,350,325.0,361,19.0
350,400,375.0,354,18.81488772222678
400,450,425.0,352,18.76166303929372
450,500,475.0,370,19.235384061671343
500,550,525.0,354,18.81488772222678
550,600,575.0,335,18.303005217723125
600,650,625.0,373,19.313207915827967
650,700,675.0,319,17.86057109949175
700,750,725.0,363,19.05255888325765
750,800,775.0,334,18.275666882497067
800,850,825.0,347,18.627936010197157
850,900,875.0,339,18.411952639521967
900,950,925.0,368,19.183326093250876
950,1000,975.0,363,19.05255888325765
1000,1050,1025.0,374,19.339079605813716
1050,1100,1075.0,314,17.72004514666935
1100,1150,1125.0,354,18.81488772222678
1150,1200,1175.0,331,18.193405398660254
1200,1250,1225.0,348,18.65475810617763
1250,1300,1275.0,350,18.708286933869708
1300,1350,1325.0,383,19.570385790780925
1350,1400,1375.0,335,18.303005217723125
1400,1450,1425.0,367,19.157244060668017
1450,1500,1475.0,379,19.467922333931785
1500,1550,1525.0,357,18.894443627691185
1550,1600,1575.0,330,18.16590212458495
1600,1650,1625.0,334,18.275666882497067
1650,1700,1675.0,342,18.49324200890693
1700,1750,1725.0,354,18.81488772222678
1750,1800,1775.0,320,17.88854381999832
1800,1850,1825.0,451,21.236760581595302
1850,1900,1875.0,563,23.727621035409346
1900,1950,1925.0,529,23.0
1950,2000,1975.0,503,22.427661492005804
2000,2050,2025.0,482,21.95449840010015
2050,2100,2075.0,463,21.517434791350013
2100,2150,2125.0,443,21.047565179849187
2150,2200,2175.0,424,20.591260281974
2200,2250,2225.0,421,20.518284528683193
2250,2300,2275.0,438,20.92844953645635
2300,2350,2325.0,403,20.074859899884732
2350,2400,2375.0,424,20.591260281974
2400,2450,2425.0,424,20.591260281974
2450,2500,2475.0,411,20.273134932713294
2500,2550,2525.0,400,20.0
2550,2600,2575.0,424,20.591260281974
2600,2650,2625.0,375,19.364916731037084
2650,2700,2675.0,396,19.8997487421324
2700,2750,2725.0,414,20.346989949375804
2750,2800,2775.0,434,20.83266665599966
2800,2850,2825.0,371,19.261360284258224
2850,2900,2875.0,389,19.72308292331602
2900,2950,2925.0,388,19.697715603592208
2950,3000,2975.0,426,20.639767440550294
3000,3050,3025.0,370,19.235384061671343
3050,3100,3075.0,381,19.519221295943137
3100,3150,3125.0,377,19.4164878389476
3150,3200,3175.0,366,19.131126469708992
3200,3250,3225.0,429,20.71231517720798
3250,3300,3275.0,367,19.157244060668017
3300,3350,3325.0,364,19.078784028338912
3350,3400,3375.0,373,19.313207915827967
3400,3450,3425.0,359,18.947295321496416
3450,3500,3475.0,378,19.44222209522358
3500,3550,3525.0,386,19.6468827043885
3550,3600,3575.0,415,20.37154878746336
