VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0,25,12.5,170,13.038404810405298
25,50,37.5,185,13.601470508735444
50,75,62.5,146,12.083045973594572
75,100,87.5,174,13.19090595827292
100,125,112.5,175,13.228756555322953
125,150,137.5,187,13.674794331177344
150,175,162.5,206,14.352700094407323
175,200,187.5,195,13.96424004376894
200,225,212.5,156,12.489995996796797
225,250,237.5,186,13.638181696985855
250,275,262.5,164,12.806248474865697
275,300,287.5,195,13.96424004376894
300,325,312.5,187,13.674794331177344
325,350,337.5,168,12.96148139681572
350,375,362.5,168,12.96148139681572
375,400,387.5,172,13.114877048604
400,425,412.5,171,13.076696830622021
425,450,437.5,180,13.416407864998739
450,475,462.5,162,12.727922061357855
475,500,487.5,185,13.601470508735444
500,525,512.5,185,13.601470508735444
525,550,537.5,161,12.68857754044952
550,575,562.5,168,12.96148139681572
575,600,587.5,174,13.19090595827292
600,625,612.5,185,13.601470508735444
625,650,637.5,182,13.490737563232042
650,675,662.5,203,14.247806848775006
675,700,687.5,167,12.922847983320086
700,725,712.5,155,12.449899597988733
725,750,737.5,179,13.379088160259652
750,775,762.5,167,12.922847983320086
775,800,787.5,159,12.609520212918492
800,825,812.5,179,13.379088160259652
825,850,837.5,187,13.674794331177344
850,875,862.5,199,14.106735979665885
875,900,887.5,145,12.041594578792296
900,925,912.5,191,13.820274961085254
925,950,937.5,177,13.30413469565007
950,975,962.5,187,13.674794331177344
975,1000,987.5,177,13.30413469565007
1000,1025,1012.5,172,13.114877048604
1025,1050,1037.5,186,13.638181696985855
1050,1075,1062.5,153,12.36931687685298
1075,1100,1087.5,157,12.529964086141668
1100,1125,1112.5,165,12.84523257866513
1125,1150,1137.5,184,13.564659966250536
1150,1175,1162.5,166,12.884098726725126
1175,1200,1187.5,184,13.564659966250536
1200,1225,1212.5,166,12.884098726725126
1225,1250,1237.5,156,12.489995996796797
1250,1275,1262.5,198,14.071247279470288
1275,1300,1287.5,182,13.490737563232042
1300,1325,1312.5,179,13.379088160259652
1325,1350,1337.5,195,13.96424004376894
1350,1375,1362.5,156,12.489995996796797
1375,1400,1387.5,191,13.820274961085254
1400,1425,1412.5,166,12.884098726725126
1425,1450,1437.5,179,13.379088160259652
1450,1475,1462.5,194,13.92838827718412
1475,1500,1487.5,180,13.416407864998739
1500,1525,1512.5,166,12.884098726725126
1525,1550,1537.5,164,12.806248474865697
1550,1575,1562.5,155,12.449899597988733
1575,1600,1587.5,171,13.076696830622021
1600,1625,1612.5,178,13.341664064126334
1625,1650,1637.5,148,12.165525060596439
1650,1675,1662.5,174,13.19090595827292
1675,1700,1687.5,155,12.449899597988733
1700,1725,1712.5,157,12.529964086141668
