VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0,10,5.0,72,8.48528137423857
10,20,15.0,70,8.366600265340756
20,30,25.0,62,7.874007874011811
30,40,35.0,75,8.660254037844387
40,50,45.0,66,8.12403840463596
50,60,55.0,67,8.18535277187245
60,70,65.0,64,8.0
70,80,75.0,78,8.831760866327848
80,90,85.0,66,8.12403840463596
90,100,95.0,72,8.48528137423857
100,110,105.0,60,7.745966692414834
110,120,115.0,76,8.717797887081348
120,130,125.0,78,8.831760866327848
130,140,135.0,87,9.327379053088816
140,150,145.0,64,8.0
150,160,155.0,94,9.695359714832659
160,170,165.0,81,9.0
170,180,175.0,77,8.774964387392123
180,190,185.0,79,8.888194417315589
190,200,195.0,83,9.1104335791443
200,210,205.0,67,8.18535277187245
210,220,215.0,61,7.810249675906654
220,230,225.0,67,8.18535277187245
230,240,235.0,65,8.06225774829855
240,250,245.0,83,9.1104335791443
250,260,255.0,57,7.54983443527075
260,270,265.0,69,8.306623862918075
270,280,275.0,65,8.06225774829855
280,290,285.0,81,9.0
290,300,295.0,62,7.874007874011811
300,310,305.0,64,8.0
310,320,315.0,89,9.433981132056603
320,330,325.0,78,8.831760866327848
330,340,335.0,61,7.810249675906654
340,350,345.0,69,8.306623862918075
350,360,355.0,75,8.660254037844387
360,370,365.0,72,8.48528137423857
370,380,375.0,66,8.12403840463596
380,390,385.0,65,8.06225774829855
390,400,395.0,76,8.717797887081348
400,410,405.0,74,8.602325267042627
410,420,415.0,62,7.874007874011811
420,430,425.0,74,8.602325267042627
430,440,435.0,70,8.366600265340756
440,450,445.0,72,8.48528137423857
450,460,455.0,67,8.18535277187245
460,470,465.0,64,8.0
470,480,475.0,81,9.0
480,490,485.0,86,9.273618495495704
490,500,495.0,72,8.48528137423857
500,510,505.0,68,8.246211251235321
510,520,515.0,85,9.219544457292887
520,530,525.0,64,8.0
530,540,535.0,68,8.246211251235321
540,550,545.0,69,8.306623862918075
550,560,555.0,59,7.681145747868608
560,570,565.0,69,8.306623862918075
570,580,575.0,56,7.483314773547883
580,590,585.0,68,8.246211251235321
590,600,595.0,83,9.1104335791443
600,610,605.0,64,8.0
610,620,615.0,83,9.1104335791443
620,630,625.0,91,9.539392014169456
630,640,635.0,71,8.426149773176359
640,650,645.0,64,8.0
650,660,655.0,70,8.366600265340756
660,670,665.0,63,7.937253933193772
670,680,675.0,64,8.0
680,690,685.0,63,7.937253933193772
690,700,695.0,59,7.681145747868608
700,710,705.0,55,7.416198487095663
710,720,715.0,82,9.055385138137417
720,730,725.0,79,8.888194417315589
730,740,735.0,72,8.48528137423857
740,750,745.0,75,8.660254037844387
750,760,755.0,74,8.602325267042627
760,770,765.0,64,8.0
770,780,775.0,65,8.06225774829855
780,790,785.0,68,8.246211251235321
790,800,795.0,63,7.937253933193772
800,810,805.0,81,9.0
810,820,815.0,69,8.306623862918075
820,830,825.0,78,8.831760866327848
830,840,835.0,61,7.810249675906654
840,850,845.0,58,7.615773105863909
850,860,855.0,89,9.433981132056603
860,870,865.0,75,8.660254037844387
870,880,875.0,67,8.18535277187245
880,890,885.0,55,7.416198487095663
890,900,895.0,53,7.280109889280518
900,910,905.0,67,8.18535277187245
910,920,915.0,76,8.717797887081348
920,930,925.0,89,9.433981132056603
930,940,935.0,65,8.06225774829855
940,950,945.0,71,8.426149773176359
950,960,955.0,73,8.54400374531753
960,970,965.0,75,8.660254037844387
970,980,975.0,83,9.1104335791443
980,990,985.0,67,8.18535277187245
990,1000,995.0,65,8.06225774829855
1000,1010,1005.0,73,8.54400374531753
1010,1020,1015.0,61,7.810249675906654
1020,1030,1025.0,95,9.746794344808963
1030,1040,1035.0,62,7.874007874011811
1040,1050,1045.0,83,9.1104335791443
1050,1060,1055.0,60,7.745966692414834
1060,1070,1065.0,74,8.602325267042627
1070,1080,1075.0,65,8.06225774829855
1080,1090,1085.0,58,7.615773105863909
1090,1100,1095.0,57,7.54983443527075
1100,1110,1105.0,63,7.937253933193772
1110,1120,1115.0,73,8.54400374531753
1120,1130,1125.0,72,8.48528137423857
1130,1140,1135.0,69,8.306623862918075
1140,1150,1145.0,77,8.774964387392123
1150,1160,1155.0,60,7.745966692414834
1160,1170,1165.0,73,8.54400374531753
1170,1180,1175.0,50,7.0710678118654755
1180,1190,1185.0,74,8.602325267042627
1190,1200,1195.0,74,8.602325267042627
1200,1210,1205.0,74,8.602325267042627
1210,1220,1215.0,69,8.306623862918075
1220,1230,1225.0,79,8.888194417315589
1230,1240,1235.0,69,8.306623862918075
1240,1250,1245.0,57,7.54983443527075
1250,1260,1255.0,66,8.12403840463596
1260,1270,1265.0,79,8.888194417315589
1270,1280,1275.0,60,7.745966692414834
1280,1290,1285.0,85,9.219544457292887
1290,1300,1295.0,60,7.745966692414834
1300,1310,1305.0,73,8.54400374531753
1310,1320,1315.0,76,8.717797887081348
1320,1330,1325.0,71,8.426149773176359
1330,1340,1335.0,85,9.219544457292887
1340,1350,1345.0,78,8.831760866327848
1350,1360,1355.0,50,7.0710678118654755
1360,1370,1365.0,71,8.426149773176359
1370,1380,1375.0,73,8.54400374531753
1380,1390,1385.0,65,8.06225774829855
1390,1400,1395.0,76,8.717797887081348
1400,1410,1405.0,56,7.483314773547883
1410,1420,1415.0,71,8.426149773176359
1420,1430,1425.0,88,9.38083151964686
1430,1440,1435.0,78,8.831760866327848
1440,1450,1445.0,74,8.602325267042627
1450,1460,1455.0,83,9.1104335791443
1460,1470,1465.0,76,8.717797887081348
1470,1480,1475.0,74,8.602325267042627
1480,1490,1485.0,76,8.717797887081348
1490,1500,1495.0,70,8.366600265340756
1500,1510,1505.0,87,9.327379053088816
1510,1520,1515.0,67,8.18535277187245
1520,1530,1525.0,62,7.874007874011811
1530,1540,1535.0,75,8.660254037844387
1540,1550,1545.0,66,8.12403840463596
1550,1560,1555.0,61,7.810249675906654
1560,1570,1565.0,61,7.810249675906654
1570,1580,1575.0,72,8.48528137423857
1580,1590,1585.0,57,7.54983443527075
1590,1600,1595.0,79,8.888194417315589
1600,1610,1605.0,70,8.366600265340756
1610,1620,1615.0,55,7.416198487095663
1620,1630,1625.0,79,8.888194417315589
1630,1640,1635.0,63,7.937253933193772
1640,1650,1645.0,67,8.18535277187245
1650,1660,1655.0,85,9.219544457292887
1660,1670,1665.0,77,8.774964387392123
1670,1680,1675.0,69,8.306623862918075
1680,1690,1685.0,55,7.416198487095663
1690,1700,1695.0,56,7.483314773547883
1700,1710,1705.0,77,8.774964387392123
1710,1720,1715.0,62,7.874007874011811
1720,1730,1725.0,70,8.366600265340756
1730,1740,1735.0,66,8.12403840463596
1740,1750,1745.0,79,8.888194417315589
1750,1760,1755.0,76,8.717797887081348
1760,1770,1765.0,68,8.246211251235321
1770,1780,1775.0,58,7.615773105863909
1780,1790,1785.0,54,7.3484692283495345
1790,1800,1795.0,64,8.0
1800,1810,1805.0,48,6.928203230275509
1810,1820,1815.0,84,9.16515138991168
1820,1830,1825.0,108,10.392304845413264
1830,1840,1835.0,98,9.899494936611665
1840,1850,1845.0,113,10.63014581273465
1850,1860,1855.0,97,9.848857801796104
1860,1870,1865.0,116,10.770329614269007
