VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0,25,12.5,5,2.23606797749979
25,50,37.5,10,3.1622776601683795
50,75,62.5,9,3.0
75,100,87.5,3,1.7320508075688772
100,125,112.5,9,3.0
125,150,137.5,6,2.449489742783178
150,175,162.5,9,3.0
175,200,187.5,7,2.6457513110645907
200,225,212.5,6,2.449489742783178
225,250,237.5,9,3.0
250,275,262.5,7,2.6457513110645907
275,300,287.5,10,3.1622776601683795
300,325,312.5,8,2.8284271247461903
325,350,337.5,4,2.0
350,375,362.5,9,3.0
375,400,387.5,8,2.8284271247461903
400,425,412.5,7,2.6457513110645907
425,450,437.5,6,2.449489742783178
450,475,462.5,13,3.605551275463989
475,500,487.5,7,2.6457513110645907
500,525,512.5,10,3.1622776601683795
525,550,537.5,9,3.0
550,575,562.5,5,2.23606797749979
575,600,587.5,5,2.23606797749979
600,625,612.5,6,2.449489742783178
625,650,637.5,6,2.449489742783178
650,675,662.5,4,2.0
675,700,687.5,9,3.0
700,725,712.5,4,2.0
725,750,737.5,8,2.8284271247461903
750,775,762.5,9,3.0
775,800,787.5,8,2.8284271247461903
800,825,812.5,10,3.1622776601683795
825,850,837.5,8,2.8284271247461903
850,875,862.5,7,2.6457513110645907
875,900,887.5,5,2.23606797749979
900,925,912.5,5,2.23606797749979
925,950,937.5,9,3.0
950,975,962.5,10,3.1622776601683795
975,1000,987.5,9,3.0
1000,1025,1012.5,8,2.8284271247461903
1025,1050,1037.5,6,2.449489742783178
1050,1075,1062.5,8,2.8284271247461903
1075,1100,1087.5,8,2.8284271247461903
1100,1125,1112.5,6,2.449489742783178
1125,1150,1137.5,7,2.6457513110645907
1150,1175,1162.5,2,1.4142135623730951
1175,1200,1187.5,7,2.6457513110645907
1200,1225,1212.5,16,4.0
1225,1250,1237.5,7,2.6457513110645907
1250,1275,1262.5,7,2.6457513110645907
1275,1300,1287.5,6,2.449489742783178
1300,1325,1312.5,8,2.8284271247461903
1325,1350,1337.5,5,2.23606797749979
1350,1375,1362.5,4,2.0
1375,1400,1387.5,5,2.23606797749979
1400,1425,1412.5,6,2.449489742783178
1425,1450,1437.5,9,3.0
1450,1475,1462.5,10,3.1622776601683795
1475,1500,1487.5,6,2.449489742783178
1500,1525,1512.5,9,3.0
1525,1550,1537.5,5,2.23606797749979
1550,1575,1562.5,2,1.4142135623730951
1575,1600,1587.5,9,3.0
1600,1625,1612.5,10,3.1622776601683795
1625,1650,1637.5,7,2.6457513110645907
1650,1675,1662.5,7,2.6457513110645907
1675,1700,1687.5,5,2.23606797749979
1700,1725,1712.5,6,2.449489742783178
1725,1750,1737.5,7,2.6457513110645907
1750,1775,1762.5,7,2.6457513110645907
1775,1800,1787.5,9,3.0
1800,1825,1812.5,30,5.477225575051661
1825,1850,1837.5,52,7.211102550927978
