VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0.03,0.04,0.035,8076,89.86656775464388
0.04,0.05,0.045,6822,82.59539938761722
0.05,0.060000000000000005,0.05500000000000001,3778,61.465437442517235
0.060000000000000005,0.07,0.065,2307,48.03123983409131
0.07,0.08,0.07500000000000001,1538,39.21734310225516
0.08,0.09,0.08499999999999999,1368,36.98648401781386
0.09,0.09999999999999999,0.095,1037,32.202484376209235
0.09999999999999999,0.10999999999999999,0.10499999999999998,794,28.178005607210743
0.10999999999999999,0.11999999999999998,0.11499999999999999,660,25.69046515733026
0.11999999999999998,0.12999999999999998,0.12499999999999997,501,22.38302928559939
0.12999999999999998,0.13999999999999999,0.13499999999999998,386,19.6468827043885
0.13999999999999999,0.15,0.145,346,18.601075237738275
