VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0,25,12.5,2421,49.20365840057018
25,50,37.5,2408,49.07137658554119
50,75,62.5,2321,48.176757881783615
75,100,87.5,2503,50.02999100539596
100,125,112.5,2431,49.3051721424842
125,150,137.5,2492,49.91993589739474
150,175,162.5,2473,49.72926703662542
175,200,187.5,2451,49.50757517794625
200,225,212.5,2363,48.61069841094653
225,250,237.5,2355,48.52834223420371
250,275,262.5,2307,48.03123983409131
275,300,287.5,2323,48.19751030914356
300,325,312.5,2482,49.8196748283246
325,350,337.5,2431,49.3051721424842
350,375,362.5,2406,49.05099387372289
375,400,387.5,2434,49.33558553417604
400,425,412.5,2440,49.39635614091387
425,450,437.5,2498,49.9799959983992
450,475,462.5,2453,49.52776998815917
475,500,487.5,2451,49.50757517794625
500,525,512.5,2416,49.15282290977803
525,550,537.5,2495,49.949974974968704
550,575,562.5,2395,48.938737212968626
575,600,587.5,2417,49.16299421312742
600,625,612.5,2447,49.467160824126545
625,650,637.5,2522,50.21951811795888
650,675,662.5,2487,49.86983055916673
675,700,687.5,2352,48.49742261192856
700,725,712.5,2484,49.839743177508446
725,750,737.5,2430,49.29503017546495
750,775,762.5,2566,50.65570056765576
775,800,787.5,2435,49.34571916590131
800,825,812.5,2425,49.24428900898052
825,850,837.5,2341,48.38388161361178
850,875,862.5,2465,49.64876634922564
875,900,887.5,2405,49.040799340956916
900,925,912.5,2439,49.38623289946298
925,950,937.5,2453,49.52776998815917
950,975,962.5,2362,48.60041152089147
975,1000,987.5,2426,49.25444142409901
1000,1025,1012.5,2453,49.52776998815917
1025,1050,1037.5,2426,49.25444142409901
1050,1075,1062.5,2453,49.52776998815917
1075,1100,1087.5,2383,48.815980989835694
1100,1125,1112.5,2430,49.29503017546495
1125,1150,1137.5,2422,49.21381919745713
1150,1175,1162.5,2328,48.249352327259274
1175,1200,1187.5,2428,49.27473997901968
1200,1225,1212.5,2349,48.46648326421054
1225,1250,1237.5,2373,48.7134478352744
1250,1275,1262.5,2426,49.25444142409901
1275,1300,1287.5,2385,48.83646178829912
1300,1325,1312.5,2451,49.50757517794625
1325,1350,1337.5,2419,49.18333050943175
1350,1375,1362.5,2407,49.06118628814432
1375,1400,1387.5,2485,49.84977432245807
1400,1425,1412.5,2410,49.09175083453431
1425,1450,1437.5,2545,50.44799302251776
1450,1475,1462.5,2489,49.889878733065686
1475,1500,1487.5,2491,49.90991885387112
1500,1525,1512.5,2409,49.08156476723211
1525,1550,1537.5,2430,49.29503017546495
1550,1575,1562.5,2493,49.92995093127971
1575,1600,1587.5,2382,48.80573736764972
1600,1625,1612.5,2409,49.08156476723211
1625,1650,1637.5,2443,49.42671342502959
1650,1675,1662.5,2372,48.703182647543684
1675,1700,1687.5,2386,48.84669896727925
1700,1725,1712.5,2383,48.815980989835694
1725,1750,1737.5,2462,49.61854492022111
1750,1775,1762.5,2479,49.78955713801841
1775,1800,1787.5,2384,48.82622246293481
1800,1825,1812.5,2436,49.35585071701227
1825,1850,1837.5,2441,49.4064773081425
1850,1875,1862.5,2504,50.039984012787215
1875,1900,1887.5,2615,51.137070702182385
1900,1925,1912.5,2543,50.428166732491874
1925,1950,1937.5,2507,50.06995106848019
1950,1975,1962.5,2505,50.049975024968795
1975,2000,1987.5,2470,49.69909455915671
2000,2025,2012.5,2535,50.34878350069642
2025,2050,2037.5,2432,49.31531202375181
2050,2075,2062.5,2511,50.1098792654702
2075,2100,2087.5,2443,49.42671342502959
2100,2125,2112.5,2460,49.59838707054898
2125,2150,2137.5,2446,49.457052075512955
2150,2175,2162.5,2371,48.692915295759406
2175,2200,2187.5,2496,49.95998398718719
2200,2225,2212.5,2503,50.02999100539596
2225,2250,2237.5,2361,48.590122453025366
2250,2275,2262.5,2522,50.21951811795888
2275,2300,2287.5,2445,49.44694126030446
2300,2325,2312.5,2469,49.68903299521938
2325,2350,2337.5,2380,48.78524367060187
2350,2375,2362.5,2509,50.08991914547278
2375,2400,2387.5,2434,49.33558553417604
2400,2425,2412.5,2548,50.47771785649585
2425,2450,2437.5,2456,49.558046773455466
2450,2475,2462.5,2428,49.27473997901968
2475,2500,2487.5,2450,49.49747468305833
2500,2525,2512.5,2421,49.20365840057018
2525,2550,2537.5,2531,50.309044912421065
2550,2575,2562.5,2453,49.52776998815917
2575,2600,2587.5,2579,50.78385570237849
2600,2625,2612.5,2426,49.25444142409901
2625,2650,2637.5,2338,48.35286961494633
2650,2675,2662.5,2491,49.90991885387112
2675,2700,2687.5,2455,49.54795656734998
2700,2725,2712.5,2521,50.20956084253277
2725,2750,2737.5,2522,50.21951811795888
2750,2775,2762.5,2441,49.4064773081425
2775,2800,2787.5,2393,48.91829923454004
2800,2825,2812.5,2449,49.48737212663449
2825,2850,2837.5,2372,48.703182647543684
2850,2875,2862.5,2487,49.86983055916673
2875,2900,2887.5,2400,48.98979485566356
2900,2925,2912.5,2523,50.22947341949744
2925,2950,2937.5,2454,49.53786430600334
2950,2975,2962.5,2521,50.20956084253277
2975,3000,2987.5,2394,48.92851929090027
3000,3025,3012.5,2342,48.394214530251446
3025,3050,3037.5,2278,47.7283982551269
3050,3075,3062.5,2459,49.58830507286975
3075,3100,3087.5,2441,49.4064773081425
3100,3125,3112.5,2369,48.67237409455183
3125,3150,3137.5,2466,49.658836071740545
3150,3175,3162.5,2480,49.79959839195493
3175,3200,3187.5,2435,49.34571916590131
3200,3225,3212.5,2550,50.49752469181039
3225,3250,3237.5,2430,49.29503017546495
3250,3275,3262.5,2369,48.67237409455183
3275,3300,3287.5,2296,47.916594202843754
3300,3325,3312.5,2356,48.53864439804639
3325,3350,3337.5,2340,48.373546489791295
3350,3375,3362.5,2444,49.4368283772331
3375,3400,3387.5,2504,50.039984012787215
3400,3425,3412.5,2389,48.877397639399746
3425,3450,3437.5,2340,48.373546489791295
3450,3475,3462.5,2510,50.0999001995014
3475,3500,3487.5,2429,49.28488612140643
3500,3525,3512.5,2501,50.00999900019995
3525,3550,3537.5,2516,50.15974481593781
3550,3575,3562.5,2435,49.34571916590131
3575,3600,3587.5,2383,48.815980989835694
