VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0,25,12.5,169,13.0
25,50,37.5,184,13.564659966250536
50,75,62.5,180,13.416407864998739
75,100,87.5,184,13.564659966250536
100,125,112.5,170,13.038404810405298
125,150,137.5,192,13.856406460551018
150,175,162.5,191,13.820274961085254
175,200,187.5,166,12.884098726725126
200,225,212.5,182,13.490737563232042
225,250,237.5,180,13.416407864998739
250,275,262.5,169,13.0
275,300,287.5,147,12.12435565298214
300,325,312.5,174,13.19090595827292
325,350,337.5,156,12.489995996796797
350,375,362.5,172,13.114877048604
375,400,387.5,174,13.19090595827292
400,425,412.5,150,12.24744871391589
425,450,437.5,162,12.727922061357855
450,475,462.5,187,13.674794331177344
475,500,487.5,193,13.892443989449804
500,525,512.5,165,12.84523257866513
525,550,537.5,178,13.341664064126334
550,575,562.5,149,12.206555615733702
575,600,587.5,175,13.228756555322953
600,625,612.5,175,13.228756555322953
625,650,637.5,189,13.74772708486752
650,675,662.5,149,12.206555615733702
675,700,687.5,157,12.529964086141668
700,725,712.5,173,13.152946437965905
725,750,737.5,176,13.2664991614216
750,775,762.5,188,13.711309200802088
775,800,787.5,185,13.601470508735444
800,825,812.5,164,12.806248474865697
825,850,837.5,156,12.489995996796797
850,875,862.5,168,12.96148139681572
875,900,887.5,137,11.704699910719626
900,925,912.5,182,13.490737563232042
925,950,937.5,169,13.0
950,975,962.5,177,13.30413469565007
975,1000,987.5,168,12.96148139681572
1000,1025,1012.5,173,13.152946437965905
1025,1050,1037.5,188,13.711309200802088
1050,1075,1062.5,163,12.767145334803704
1075,1100,1087.5,147,12.12435565298214
1100,1125,1112.5,173,13.152946437965905
1125,1150,1137.5,182,13.490737563232042
1150,1175,1162.5,160,12.649110640673518
1175,1200,1187.5,168,12.96148139681572
1200,1225,1212.5,180,13.416407864998739
1225,1250,1237.5,185,13.601470508735444
1250,1275,1262.5,180,13.416407864998739
1275,1300,1287.5,179,13.379088160259652
1300,1325,1312.5,179,13.379088160259652
1325,1350,1337.5,158,12.569805089976535
1350,1375,1362.5,141,11.874342087037917
1375,1400,1387.5,182,13.490737563232042
1400,1425,1412.5,184,13.564659966250536
1425,1450,1437.5,192,13.856406460551018
1450,1475,1462.5,193,13.892443989449804
1475,1500,1487.5,181,13.45362404707371
1500,1525,1512.5,183,13.527749258468683
1525,1550,1537.5,173,13.152946437965905
1550,1575,1562.5,162,12.727922061357855
1575,1600,1587.5,164,12.806248474865697
1600,1625,1612.5,176,13.2664991614216
1625,1650,1637.5,170,13.038404810405298
1650,1675,1662.5,163,12.767145334803704
1675,1700,1687.5,142,11.916375287812984
1700,1725,1712.5,179,13.379088160259652
1725,1750,1737.5,174,13.19090595827292
1750,1775,1762.5,160,12.649110640673518
1775,1800,1787.5,159,12.609520212918492
1800,1825,1812.5,207,14.38749456993816
1825,1850,1837.5,272,16.492422502470642
1850,1875,1862.5,281,16.76305461424021
1875,1900,1887.5,301,17.349351572897472
1900,1925,1912.5,279,16.703293088490067
1925,1950,1937.5,255,15.968719422671311
