VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0,25,12.5,637,25.238858928247925
25,50,37.5,652,25.534290669607408
50,75,62.5,599,24.474476501040833
75,100,87.5,666,25.80697580112788
100,125,112.5,662,25.729360660537214
125,150,137.5,677,26.019223662515376
150,175,162.5,665,25.787593916455254
175,200,187.5,647,25.436194683953808
200,225,212.5,635,25.199206336708304
225,250,237.5,619,24.879710609249457
250,275,262.5,616,24.819347291981714
275,300,287.5,662,25.729360660537214
300,325,312.5,673,25.942243542145693
325,350,337.5,632,25.13961017995307
350,375,362.5,636,25.219040425836983
375,400,387.5,662,25.729360660537214
400,425,412.5,649,25.475478405713993
425,450,437.5,689,26.248809496813376
450,475,462.5,687,26.210684844162312
475,500,487.5,667,25.826343140289914
500,525,512.5,677,26.019223662515376
525,550,537.5,633,25.15949125081825
550,575,562.5,629,25.079872407968907
575,600,587.5,659,25.67099530598687
600,625,612.5,661,25.709920264364882
625,650,637.5,690,26.267851073127396
650,675,662.5,672,25.92296279363144
675,700,687.5,604,24.576411454889016
700,725,712.5,640,25.298221281347036
725,750,737.5,672,25.92296279363144
750,775,762.5,647,25.436194683953808
775,800,787.5,652,25.534290669607408
800,825,812.5,666,25.80697580112788
825,850,837.5,616,24.819347291981714
850,875,862.5,662,25.729360660537214
875,900,887.5,608,24.657656011875904
900,925,912.5,676,26.0
925,950,937.5,645,25.39685019840059
950,975,962.5,668,25.84569596664017
975,1000,987.5,645,25.39685019840059
1000,1025,1012.5,664,25.768197453450252
1025,1050,1037.5,665,25.787593916455254
1050,1075,1062.5,641,25.317977802344327
1075,1100,1087.5,642,25.337718918639855
1100,1125,1112.5,666,25.80697580112788
1125,1150,1137.5,632,25.13961017995307
1150,1175,1162.5,641,25.317977802344327
1175,1200,1187.5,643,25.357444666211933
1200,1225,1212.5,647,25.436194683953808
1225,1250,1237.5,609,24.677925358506133
1250,1275,1262.5,653,25.553864678361276
1275,1300,1287.5,660,25.69046515733026
1300,1325,1312.5,621,24.919871588754223
1325,1350,1337.5,658,25.65151067676132
1350,1375,1362.5,609,24.677925358506133
1375,1400,1387.5,696,26.38181191654584
1400,1425,1412.5,666,25.80697580112788
1425,1450,1437.5,673,25.942243542145693
1450,1475,1462.5,683,26.13426869074396
1475,1500,1487.5,690,26.267851073127396
1500,1525,1512.5,626,25.019992006393608
1525,1550,1537.5,658,25.65151067676132
1550,1575,1562.5,676,26.0
1575,1600,1587.5,630,25.099800796022265
1600,1625,1612.5,643,25.357444666211933
1625,1650,1637.5,647,25.436194683953808
1650,1675,1662.5,648,25.45584412271571
