VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0,25,12.5,161,12.68857754044952
25,50,37.5,173,13.152946437965905
50,75,62.5,135,11.61895003862225
75,100,87.5,191,13.820274961085254
100,125,112.5,171,13.076696830622021
125,150,137.5,177,13.30413469565007
150,175,162.5,179,13.379088160259652
175,200,187.5,160,12.649110640673518
200,225,212.5,140,11.832159566199232
225,250,237.5,169,13.0
250,275,262.5,159,12.609520212918492
275,300,287.5,157,12.529964086141668
300,325,312.5,166,12.884098726725126
325,350,337.5,159,12.609520212918492
350,375,362.5,150,12.24744871391589
375,400,387.5,180,13.416407864998739
400,425,412.5,166,12.884098726725126
425,450,437.5,159,12.609520212918492
450,475,462.5,169,13.0
475,500,487.5,172,13.114877048604
500,525,512.5,142,11.916375287812984
525,550,537.5,164,12.806248474865697
550,575,562.5,141,11.874342087037917
575,600,587.5,156,12.489995996796797
600,625,612.5,180,13.416407864998739
625,650,637.5,189,13.74772708486752
650,675,662.5,154,12.409673645990857
675,700,687.5,159,12.609520212918492
700,725,712.5,161,12.68857754044952
725,750,737.5,181,13.45362404707371
750,775,762.5,145,12.041594578792296
775,800,787.5,174,13.19090595827292
800,825,812.5,159,12.609520212918492
825,850,837.5,175,13.228756555322953
850,875,862.5,186,13.638181696985855
875,900,887.5,141,11.874342087037917
900,925,912.5,174,13.19090595827292
925,950,937.5,177,13.30413469565007
950,975,962.5,189,13.74772708486752
975,1000,987.5,148,12.165525060596439
1000,1025,1012.5,176,13.2664991614216
1025,1050,1037.5,175,13.228756555322953
1050,1075,1062.5,173,13.152946437965905
1075,1100,1087.5,177,13.30413469565007
1100,1125,1112.5,168,12.96148139681572
1125,1150,1137.5,168,12.96148139681572
1150,1175,1162.5,167,12.922847983320086
1175,1200,1187.5,172,13.114877048604
1200,1225,1212.5,172,13.114877048604
1225,1250,1237.5,160,12.649110640673518
1250,1275,1262.5,146,12.083045973594572
1275,1300,1287.5,156,12.489995996796797
1300,1325,1312.5,161,12.68857754044952
1325,1350,1337.5,181,13.45362404707371
1350,1375,1362.5,157,12.529964086141668
1375,1400,1387.5,185,13.601470508735444
1400,1425,1412.5,173,13.152946437965905
1425,1450,1437.5,172,13.114877048604
1450,1475,1462.5,168,12.96148139681572
1475,1500,1487.5,170,13.038404810405298
1500,1525,1512.5,159,12.609520212918492
1525,1550,1537.5,166,12.884098726725126
1550,1575,1562.5,164,12.806248474865697
1575,1600,1587.5,164,12.806248474865697
1600,1625,1612.5,164,12.806248474865697
1625,1650,1637.5,166,12.884098726725126
1650,1675,1662.5,146,12.083045973594572
1675,1700,1687.5,161,12.68857754044952
1700,1725,1712.5,165,12.84523257866513
1725,1750,1737.5,188,13.711309200802088
1750,1775,1762.5,162,12.727922061357855
1775,1800,1787.5,156,12.489995996796797
1800,1825,1812.5,199,14.106735979665885
1825,1850,1837.5,206,14.352700094407323
1850,1875,1862.5,199,14.106735979665885
1875,1900,1887.5,204,14.2828568570857
1900,1925,1912.5,207,14.38749456993816
1925,1950,1937.5,193,13.892443989449804
1950,1975,1962.5,197,14.035668847618199
1975,2000,1987.5,215,14.66287829861518
2000,2025,2012.5,204,14.2828568570857
2025,2050,2037.5,183,13.527749258468683
2050,2075,2062.5,192,13.856406460551018
2075,2100,2087.5,183,13.527749258468683
2100,2125,2112.5,186,13.638181696985855
2125,2150,2137.5,196,14.0
2150,2175,2162.5,158,12.569805089976535
2175,2200,2187.5,191,13.820274961085254
2200,2225,2212.5,184,13.564659966250536
2225,2250,2237.5,156,12.489995996796797
2250,2275,2262.5,193,13.892443989449804
2275,2300,2287.5,171,13.076696830622021
2300,2325,2312.5,175,13.228756555322953
2325,2350,2337.5,165,12.84523257866513
2350,2375,2362.5,192,13.856406460551018
2375,2400,2387.5,156,12.489995996796797
2400,2425,2412.5,209,14.45683229480096
2425,2450,2437.5,176,13.2664991614216
2450,2475,2462.5,177,13.30413469565007
2475,2500,2487.5,179,13.379088160259652
2500,2525,2512.5,156,12.489995996796797
2525,2550,2537.5,194,13.92838827718412
2550,2575,2562.5,179,13.379088160259652
2575,2600,2587.5,198,14.071247279470288
2600,2625,2612.5,180,13.416407864998739
2625,2650,2637.5,148,12.165525060596439
2650,2675,2662.5,165,12.84523257866513
2675,2700,2687.5,172,13.114877048604
2700,2725,2712.5,189,13.74772708486752
2725,2750,2737.5,197,14.035668847618199
2750,2775,2762.5,183,13.527749258468683
2775,2800,2787.5,170,13.038404810405298
2800,2825,2812.5,170,13.038404810405298
2825,2850,2837.5,152,12.328828005937952
2850,2875,2862.5,175,13.228756555322953
2875,2900,2887.5,158,12.569805089976535
2900,2925,2912.5,192,13.856406460551018
2925,2950,2937.5,186,13.638181696985855
2950,2975,2962.5,179,13.379088160259652
2975,3000,2987.5,171,13.076696830622021
3000,3025,3012.5,165,12.84523257866513
3025,3050,3037.5,142,11.916375287812984
3050,3075,3062.5,177,13.30413469565007
3075,3100,3087.5,173,13.152946437965905
3100,3125,3112.5,160,12.649110640673518
3125,3150,3137.5,165,12.84523257866513
3150,3175,3162.5,187,13.674794331177344
3175,3200,3187.5,175,13.228756555322953
3200,3225,3212.5,185,13.601470508735444
3225,3250,3237.5,181,13.45362404707371
3250,3275,3262.5,157,12.529964086141668
3275,3300,3287.5,144,12.0
3300,3325,3312.5,172,13.114877048604
3325,3350,3337.5,162,12.727922061357855
3350,3375,3362.5,176,13.2664991614216
3375,3400,3387.5,146,12.083045973594572
3400,3425,3412.5,179,13.379088160259652
3425,3450,3437.5,152,12.328828005937952
3450,3475,3462.5,165,12.84523257866513
3475,3500,3487.5,185,13.601470508735444
3500,3525,3512.5,176,13.2664991614216
3525,3550,3537.5,181,13.45362404707371
3550,3575,3562.5,182,13.490737563232042
3575,3600,3587.5,154,12.409673645990857
