VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0,75,37.5,510,22.58317958127243
75,150,112.5,547,23.388031127053
150,225,187.5,572,23.916521486202797
225,300,262.5,519,22.781571499789035
300,375,337.5,538,23.194827009486403
375,450,412.5,529,23.0
450,525,487.5,554,23.53720459187964
525,600,562.5,505,22.47220505424423
600,675,637.5,542,23.280893453645632
675,750,712.5,513,22.64950330581225
750,825,787.5,519,22.781571499789035
825,900,862.5,501,22.38302928559939
900,975,937.5,551,23.473389188611005
975,1050,1012.5,554,23.53720459187964
1050,1125,1087.5,489,22.11334438749598
1125,1200,1162.5,510,22.58317958127243
1200,1275,1237.5,524,22.891046284519195
1275,1350,1312.5,557,23.600847442411894
1350,1425,1387.5,506,22.494443758403985
1425,1500,1462.5,575,23.979157616563597
1500,1575,1537.5,514,22.67156809750927
1575,1650,1612.5,507,22.516660498395403
1650,1725,1687.5,521,22.825424421026653
1725,1800,1762.5,495,22.24859546128699
1800,1875,1837.5,732,27.055498516937366
1875,1950,1912.5,811,28.478061731796284
1950,2025,1987.5,756,27.49545416973504
2025,2100,2062.5,692,26.30589287593181
2100,2175,2137.5,639,25.278449319529077
2175,2250,2212.5,649,25.475478405713993
2250,2325,2287.5,648,25.45584412271571
2325,2400,2362.5,617,24.839484696748443
2400,2475,2437.5,626,25.019992006393608
2475,2550,2512.5,609,24.677925358506133
2550,2625,2587.5,627,25.03996805109783
2625,2700,2662.5,568,23.83275057562597
2700,2775,2737.5,637,25.238858928247925
2775,2850,2812.5,582,24.124676163629637
2850,2925,2887.5,580,24.08318915758459
2925,3000,2962.5,623,24.95996794869737
3000,3075,3037.5,566,23.790754506740637
3075,3150,3112.5,562,23.706539182259394
3150,3225,3187.5,575,23.979157616563597
3225,3300,3262.5,587,24.228082879171435
3300,3375,3337.5,550,23.45207879911715
3375,3450,3412.5,546,23.366642891095847
3450,3525,3487.5,561,23.68543856465402
3525,3600,3562.5,618,24.859605789312106
