VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0,25,12.5,1990,44.609416046390926
25,50,37.5,1969,44.37341546466758
50,75,62.5,1871,43.255057507764334
75,100,87.5,2046,45.232731511594565
100,125,112.5,2022,44.96665431183423
125,150,137.5,2051,45.28796749689701
150,175,162.5,2013,44.86646854834911
175,200,187.5,1989,44.598206241955516
200,225,212.5,1937,44.01136216933077
225,250,237.5,1940,44.04543109109048
250,275,262.5,1878,43.3358973600409
275,300,287.5,1917,43.78355855797927
300,325,312.5,2034,45.09988913511872
325,350,337.5,2030,45.05552130427524
350,375,362.5,1946,44.11349000022555
375,400,387.5,2010,44.83302354291979
400,425,412.5,1946,44.11349000022555
425,450,437.5,2029,45.044422518220834
450,475,462.5,2031,45.066617356974994
475,500,487.5,2023,44.97777228809804
500,525,512.5,1977,44.46346815083142
525,550,537.5,2013,44.86646854834911
550,575,562.5,1957,44.23799272118933
575,600,587.5,1966,44.339598554790726
600,625,612.5,1994,44.654227123532216
625,650,637.5,2061,45.39823785126467
650,675,662.5,2005,44.77722635447622
675,700,687.5,1911,43.71498598878879
700,725,712.5,1995,44.66542286825459
725,750,737.5,1997,44.68780594300866
750,775,762.5,2090,45.71651780264984
775,800,787.5,2012,44.85532298401161
800,825,812.5,2003,44.75488800120049
825,850,837.5,1883,43.393547907494266
850,875,862.5,2013,44.86646854834911
875,900,887.5,1966,44.339598554790726
900,925,912.5,1997,44.68780594300866
925,950,937.5,2005,44.77722635447622
950,975,962.5,1929,43.9203825119955
975,1000,987.5,1973,44.41846462902562
1000,1025,1012.5,2008,44.81071300481616
1025,1050,1037.5,1984,44.54211490264017
1050,1075,1062.5,2039,45.155287619502545
1075,1100,1087.5,1959,44.26059195266146
1100,1125,1112.5,1979,44.48595283907045
1125,1150,1137.5,1986,44.56455991031439
1150,1175,1162.5,1891,43.485629810317796
1175,1200,1187.5,1958,44.24929377967517
1200,1225,1212.5,1943,44.07947368106838
1225,1250,1237.5,1938,44.02272140611028
1250,1275,1262.5,1971,44.395945760846224
1275,1300,1287.5,1982,44.51965857910413
1300,1325,1312.5,1978,44.474711915874174
1325,1350,1337.5,1960,44.27188724235731
1350,1375,1362.5,1912,43.726422218150894
1375,1400,1387.5,2029,45.044422518220834
1400,1425,1412.5,1984,44.54211490264017
1425,1450,1437.5,2077,45.574115460423364
1450,1475,1462.5,2023,44.97777228809804
1475,1500,1487.5,2045,45.221676218380054
1500,1525,1512.5,1979,44.48595283907045
1525,1550,1537.5,1951,44.170125650715555
1550,1575,1562.5,2042,45.18849411078001
1575,1600,1587.5,1952,44.181444068749045
1600,1625,1612.5,1943,44.07947368106838
1625,1650,1637.5,1968,44.36214602563767
1650,1675,1662.5,1901,43.60045871318328
1675,1700,1687.5,1929,43.9203825119955
1700,1725,1712.5,1945,44.10215414239989
1725,1750,1737.5,2015,44.88875137492688
1750,1775,1762.5,2011,44.844174649557324
1775,1800,1787.5,1953,44.19275958796871
1800,1825,1812.5,2038,45.14421336118285
1825,1850,1837.5,2000,44.721359549995796
