VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0.03,0.031,0.0305,656,25.6125
0.031,0.032,0.0315,663,25.7488
0.032,0.033,0.0325,712,26.6833
0.033,0.034,0.0335,719,26.8142
0.034,0.035,0.0345,728,26.9815
0.035,0.036,0.0355,761,27.5862
0.036,0.037,0.0365,788,28.0713
0.037,0.038,0.0375,849,29.1376
0.038,0.039,0.0385,779,27.9106
0.039,0.04,0.0395,881,29.6816
0.04,0.041,0.0405,888,29.7993
0.041,0.042,0.0415,774,27.8209
0.042,0.043,0.0425,757,27.5136
0.043,0.044,0.0435,653,25.5539
0.044,0.045,0.0445,662,25.7294
0.045,0.046,0.0455,622,24.9399
0.046,0.047,0.0465,578,24.0416
0.047,0.048,0.0475,494,22.2261
0.048,0.049,0.0485,520,22.8035
0.049,0.05,0.0495,472,21.7256
0.05,0.051,0.0505,413,20.3224
0.051,0.052,0.0515,414,20.347
0.052,0.053,0.0525,370,19.2354
0.053,0.054,0.0535,400,20.0
0.054,0.055,0.0545,350,18.7083
0.055,0.056,0.0555,347,18.6279
0.056,0.057,0.0565,310,17.6068
0.057,0.058,0.0575,326,18.0555
0.058,0.059,0.0585,278,16.6733
0.059,0.06,0.0595,314,17.72
0.06,0.061,0.0605,257,16.0312
0.061,0.062,0.0615,281,16.7631
0.062,0.063,0.0625,238,15.4272
0.063,0.064,0.0635,228,15.0997
0.064,0.065,0.0645,248,15.748
0.065,0.066,0.0655,224,14.9666
0.066,0.067,0.0665,198,14.0712
0.067,0.068,0.0675,176,13.2665
0.068,0.069,0.0685,193,13.8924
0.069,0.07,0.0695,184,13.5647
0.07,0.071,0.0705,186,13.6382
0.071,0.072,0.0715,145,12.0416
0.072,0.073,0.0725,153,12.3693
0.073,0.074,0.0735,157,12.53
0.074,0.075,0.0745,163,12.7671
0.075,0.076,0.0755,138,11.7473
0.076,0.077,0.0765,129,11.3578
0.077,0.078,0.0775,134,11.5758
0.078,0.079,0.0785,158,12.5698
0.079,0.08,0.0795,141,11.8743
0.08,0.081,0.0805,119,10.9087
0.081,0.082,0.0815,122,11.0454
0.082,0.083,0.0825,128,11.3137
0.083,0.084,0.0835,88,9.3808
0.084,0.085,0.0845,104,10.198
0.085,0.086,0.0855,120,10.9545
0.086,0.087,0.0865,113,10.6301
0.087,0.088,0.0875,113,10.6301
0.088,0.089,0.0885,100,10.0
0.089,0.09,0.0895,109,10.4403
0.09,0.091,0.0905,98,9.8995
0.091,0.092,0.0915,88,9.3808
0.092,0.093,0.0925,96,9.798
0.093,0.094,0.0935,86,9.2736
0.094,0.095,0.0945,101,10.0499
0.095,0.096,0.0955,68,8.2462
0.096,0.097,0.0965,79,8.8882
0.097,0.098,0.0975,75,8.6603
0.098,0.099,0.0985,75,8.6603
0.099,0.1,0.0995,71,8.4261
0.1,0.101,0.1005,66,8.124
0.101,0.102,0.1015,71,8.4261
0.102,0.103,0.1025,92,9.5917
0.103,0.104,0.1035,60,7.746
0.104,0.105,0.1045,61,7.8102
0.105,0.106,0.1055,76,8.7178
0.106,0.107,0.1065,61,7.8102
0.107,0.108,0.1075,56,7.4833
0.108,0.109,0.1085,43,6.5574
0.109,0.11,0.1095,66,8.124
0.11,0.111,0.1105,50,7.0711
0.111,0.112,0.1115,42,6.4807
0.112,0.113,0.1125,52,7.2111
0.113,0.114,0.1135,60,7.746
0.114,0.115,0.1145,44,6.6332
0.115,0.116,0.1155,41,6.4031
0.116,0.117,0.1165,40,6.3246
0.117,0.118,0.1175,59,7.6811
0.118,0.119,0.1185,51,7.1414
0.119,0.12,0.1195,47,6.8557
0.12,0.121,0.1205,44,6.6332
0.121,0.122,0.1215,61,7.8102
0.122,0.123,0.1225,42,6.4807
0.123,0.124,0.1235,32,5.6569
0.124,0.125,0.1245,48,6.9282
0.125,0.126,0.1255,23,4.7958
0.126,0.127,0.1265,33,5.7446
0.127,0.128,0.1275,33,5.7446
0.128,0.129,0.1285,41,6.4031
0.129,0.13,0.1295,45,6.7082
0.13,0.131,0.1305,40,6.3246
0.131,0.132,0.1315,38,6.1644
0.132,0.133,0.1325,41,6.4031
0.133,0.134,0.1335,36,6.0
0.134,0.135,0.1345,33,5.7446
0.135,0.136,0.1355,26,5.099
0.136,0.137,0.1365,25,5.0
0.137,0.138,0.1375,31,5.5678
0.138,0.139,0.1385,25,5.0
0.139,0.14,0.1395,25,5.0
0.14,0.141,0.1405,32,5.6569
0.141,0.142,0.1415,25,5.0
0.142,0.143,0.1425,29,5.3852
0.143,0.144,0.1435,27,5.1962
0.144,0.145,0.1445,28,5.2915
0.145,0.146,0.1455,23,4.7958
0.146,0.147,0.1465,24,4.899
0.147,0.148,0.1475,30,5.4772
0.148,0.149,0.1485,22,4.6904
