VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0,25,12.5,182,13.4907
25,50,37.5,195,13.9642
50,75,62.5,155,12.4499
75,100,87.5,160,12.6491
100,125,112.5,174,13.1909
125,150,137.5,198,14.0712
150,175,162.5,179,13.3791
175,200,187.5,181,13.4536
200,225,212.5,182,13.4907
225,250,237.5,183,13.5277
250,275,262.5,163,12.7671
275,300,287.5,169,13.0
300,325,312.5,180,13.4164
325,350,337.5,172,13.1149
350,375,362.5,157,12.53
375,400,387.5,166,12.8841
400,425,412.5,180,13.4164
425,450,437.5,193,13.8924
450,475,462.5,184,13.5647
475,500,487.5,182,13.4907
500,525,512.5,172,13.1149
525,550,537.5,179,13.3791
550,575,562.5,163,12.7671
575,600,587.5,174,13.1909
600,625,612.5,168,12.9615
625,650,637.5,177,13.3041
650,675,662.5,169,13.0
675,700,687.5,188,13.7113
700,725,712.5,196,14.0
725,750,737.5,148,12.1655
750,775,762.5,178,13.3417
775,800,787.5,174,13.1909
800,825,812.5,169,13.0
825,850,837.5,171,13.0767
850,875,862.5,181,13.4536
875,900,887.5,182,13.4907
900,925,912.5,152,12.3288
925,950,937.5,178,13.3417
950,975,962.5,198,14.0712
975,1000,987.5,192,13.8564
1000,1025,1012.5,180,13.4164
1025,1050,1037.5,178,13.3417
1050,1075,1062.5,175,13.2288
1075,1100,1087.5,159,12.6095
1100,1125,1112.5,185,13.6015
1125,1150,1137.5,194,13.9284
1150,1175,1162.5,185,13.6015
1175,1200,1187.5,170,13.0384
1200,1225,1212.5,185,13.6015
1225,1250,1237.5,147,12.1244
1250,1275,1262.5,169,13.0
1275,1300,1287.5,173,13.1529
1300,1325,1312.5,169,13.0
1325,1350,1337.5,188,13.7113
1350,1375,1362.5,187,13.6748
1375,1400,1387.5,178,13.3417
1400,1425,1412.5,182,13.4907
1425,1450,1437.5,178,13.3417
1450,1475,1462.5,170,13.0384
1475,1500,1487.5,163,12.7671
1500,1525,1512.5,192,13.8564
1525,1550,1537.5,171,13.0767
1550,1575,1562.5,172,13.1149
1575,1600,1587.5,161,12.6886
1600,1625,1612.5,194,13.9284
1625,1650,1637.5,203,14.2478
1650,1675,1662.5,187,13.6748
1675,1700,1687.5,166,12.8841
1700,1725,1712.5,173,13.1529
1725,1750,1737.5,172,13.1149
1750,1775,1762.5,181,13.4536
1775,1800,1787.5,157,12.53
1800,1825,1812.5,167,12.9228
1825,1850,1837.5,170,13.0384
1850,1875,1862.5,166,12.8841
1875,1900,1887.5,162,12.7279
1900,1925,1912.5,168,12.9615
1925,1950,1937.5,171,13.0767
1950,1975,1962.5,173,13.1529
1975,2000,1987.5,166,12.8841
2000,2025,2012.5,172,13.1149
2025,2050,2037.5,162,12.7279
2050,2075,2062.5,163,12.7671
2075,2100,2087.5,175,13.2288
2100,2125,2112.5,177,13.3041
2125,2150,2137.5,167,12.9228
2150,2175,2162.5,162,12.7279
2175,2200,2187.5,179,13.3791
2200,2225,2212.5,187,13.6748
2225,2250,2237.5,177,13.3041
2250,2275,2262.5,169,13.0
2275,2300,2287.5,166,12.8841
2300,2325,2312.5,152,12.3288
2325,2350,2337.5,188,13.7113
2350,2375,2362.5,176,13.2665
2375,2400,2387.5,178,13.3417
2400,2425,2412.5,172,13.1149
2425,2450,2437.5,178,13.3417
2450,2475,2462.5,172,13.1149
2475,2500,2487.5,173,13.1529
2500,2525,2512.5,180,13.4164
2525,2550,2537.5,180,13.4164
2550,2575,2562.5,150,12.2474
2575,2600,2587.5,173,13.1529
2600,2625,2612.5,169,13.0
2625,2650,2637.5,170,13.0384
2650,2675,2662.5,157,12.53
2675,2700,2687.5,178,13.3417
2700,2725,2712.5,163,12.7671
2725,2750,2737.5,164,12.8062
2750,2775,2762.5,161,12.6886
2775,2800,2787.5,161,12.6886
2800,2825,2812.5,160,12.6491
2825,2850,2837.5,178,13.3417
2850,2875,2862.5,193,13.8924
2875,2900,2887.5,167,12.9228
2900,2925,2912.5,163,12.7671
2925,2950,2937.5,166,12.8841
2950,2975,2962.5,175,13.2288
2975,3000,2987.5,169,13.0
3000,3025,3012.5,180,13.4164
3025,3050,3037.5,198,14.0712
3050,3075,3062.5,161,12.6886
3075,3100,3087.5,195,13.9642
3100,3125,3112.5,153,12.3693
3125,3150,3137.5,152,12.3288
3150,3175,3162.5,170,13.0384
3175,3200,3187.5,180,13.4164
3200,3225,3212.5,195,13.9642
3225,3250,3237.5,168,12.9615
3250,3275,3262.5,187,13.6748
3275,3300,3287.5,169,13.0
3300,3325,3312.5,179,13.3791
3325,3350,3337.5,166,12.8841
3350,3375,3362.5,177,13.3041
3375,3400,3387.5,185,13.6015
3400,3425,3412.5,149,12.2066
3425,3450,3437.5,169,13.0
3450,3475,3462.5,172,13.1149
3475,3500,3487.5,169,13.0
3500,3525,3512.5,162,12.7279
3525,3550,3537.5,185,13.6015
3550,3575,3562.5,181,13.4536
3575,3600,3587.5,153,12.3693
3600,3625,3612.5,167,12.9228
3625,3650,3637.5,173,13.1529
3650,3675,3662.5,168,12.9615
3675,3700,3687.5,204,14.2829
3700,3725,3712.5,167,12.9228
3725,3750,3737.5,177,13.3041
3750,3775,3762.5,170,13.0384
3775,3800,3787.5,182,13.4907
3800,3825,3812.5,158,12.5698
3825,3850,3837.5,157,12.53
3850,3875,3862.5,151,12.2882
3875,3900,3887.5,156,12.49
3900,3925,3912.5,179,13.3791
3925,3950,3937.5,183,13.5277
3950,3975,3962.5,177,13.3041
3975,4000,3987.5,162,12.7279
4000,4025,4012.5,170,13.0384
4025,4050,4037.5,170,13.0384
4050,4075,4062.5,163,12.7671
4075,4100,4087.5,176,13.2665
4100,4125,4112.5,181,13.4536
4125,4150,4137.5,149,12.2066
4150,4175,4162.5,168,12.9615
4175,4200,4187.5,165,12.8452
4200,4225,4212.5,168,12.9615
4225,4250,4237.5,177,13.3041
4250,4275,4262.5,168,12.9615
4275,4300,4287.5,151,12.2882
4300,4325,4312.5,200,14.1421
4325,4350,4337.5,171,13.0767
4350,4375,4362.5,155,12.4499
4375,4400,4387.5,178,13.3417
4400,4425,4412.5,127,11.2694
4425,4450,4437.5,166,12.8841
4450,4475,4462.5,167,12.9228
4475,4500,4487.5,159,12.6095
4500,4525,4512.5,158,12.5698
4525,4550,4537.5,179,13.3791
4550,4575,4562.5,156,12.49
4575,4600,4587.5,194,13.9284
4600,4625,4612.5,154,12.4097
4625,4650,4637.5,172,13.1149
4650,4675,4662.5,169,13.0
4675,4700,4687.5,169,13.0
4700,4725,4712.5,186,13.6382
4725,4750,4737.5,176,13.2665
4750,4775,4762.5,161,12.6886
4775,4800,4787.5,170,13.0384
4800,4825,4812.5,164,12.8062
4825,4850,4837.5,159,12.6095
4850,4875,4862.5,145,12.0416
4875,4900,4887.5,176,13.2665
4900,4925,4912.5,192,13.8564
4925,4950,4937.5,176,13.2665
4950,4975,4962.5,179,13.3791
4975,5000,4987.5,168,12.9615
5000,5025,5012.5,172,13.1149
5025,5050,5037.5,156,12.49
5050,5075,5062.5,172,13.1149
5075,5100,5087.5,196,14.0
5100,5125,5112.5,165,12.8452
5125,5150,5137.5,175,13.2288
5150,5175,5162.5,189,13.7477
5175,5200,5187.5,153,12.3693
5200,5225,5212.5,154,12.4097
5225,5250,5237.5,179,13.3791
5250,5275,5262.5,170,13.0384
5275,5300,5287.5,193,13.8924
5300,5325,5312.5,167,12.9228
5325,5350,5337.5,171,13.0767
5350,5375,5362.5,161,12.6886
5375,5400,5387.5,165,12.8452
5400,5425,5412.5,174,13.1909
5425,5450,5437.5,197,14.0357
5450,5475,5462.5,196,14.0
5475,5500,5487.5,176,13.2665
5500,5525,5512.5,164,12.8062
5525,5550,5537.5,177,13.3041
5550,5575,5562.5,183,13.5277
5575,5600,5587.5,179,13.3791
5600,5625,5612.5,176,13.2665
5625,5650,5637.5,182,13.4907
5650,5675,5662.5,167,12.9228
5675,5700,5687.5,162,12.7279
5700,5725,5712.5,166,12.8841
5725,5750,5737.5,193,13.8924
5750,5775,5762.5,198,14.0712
5775,5800,5787.5,198,14.0712
5800,5825,5812.5,179,13.3791
5825,5850,5837.5,178,13.3417
5850,5875,5862.5,164,12.8062
5875,5900,5887.5,159,12.6095
5900,5925,5912.5,169,13.0
5925,5950,5937.5,168,12.9615
5950,5975,5962.5,171,13.0767
5975,6000,5987.5,170,13.0384
6000,6025,6012.5,181,13.4536
6025,6050,6037.5,193,13.8924
6050,6075,6062.5,175,13.2288
6075,6100,6087.5,199,14.1067
6100,6125,6112.5,155,12.4499
6125,6150,6137.5,169,13.0
6150,6175,6162.5,172,13.1149
6175,6200,6187.5,182,13.4907
6200,6225,6212.5,180,13.4164
6225,6250,6237.5,176,13.2665
6250,6275,6262.5,186,13.6382
6275,6300,6287.5,185,13.6015
6300,6325,6312.5,175,13.2288
6325,6350,6337.5,146,12.083
6350,6375,6362.5,203,14.2478
6375,6400,6387.5,151,12.2882
6400,6425,6412.5,193,13.8924
6425,6450,6437.5,160,12.6491
6450,6475,6462.5,184,13.5647
6475,6500,6487.5,180,13.4164
6500,6525,6512.5,192,13.8564
6525,6550,6537.5,190,13.784
6550,6575,6562.5,165,12.8452
6575,6600,6587.5,153,12.3693
6600,6625,6612.5,173,13.1529
6625,6650,6637.5,162,12.7279
6650,6675,6662.5,165,12.8452
6675,6700,6687.5,187,13.6748
6700,6725,6712.5,174,13.1909
6725,6750,6737.5,154,12.4097
6750,6775,6762.5,150,12.2474
6775,6800,6787.5,161,12.6886
6800,6825,6812.5,174,13.1909
6825,6850,6837.5,148,12.1655
6850,6875,6862.5,184,13.5647
6875,6900,6887.5,158,12.5698
6900,6925,6912.5,175,13.2288
6925,6950,6937.5,169,13.0
6950,6975,6962.5,162,12.7279
6975,7000,6987.5,181,13.4536
7000,7025,7012.5,171,13.0767
7025,7050,7037.5,164,12.8062
7050,7075,7062.5,179,13.3791
7075,7100,7087.5,155,12.4499
7100,7125,7112.5,180,13.4164
7125,7150,7137.5,165,12.8452
7150,7175,7162.5,161,12.6886
7175,7200,7187.5,175,13.2288
7200,7225,7212.5,173,13.1529
7225,7250,7237.5,194,13.9284
7250,7275,7262.5,165,12.8452
7275,7300,7287.5,167,12.9228
7300,7325,7312.5,192,13.8564
7325,7350,7337.5,176,13.2665
7350,7375,7362.5,173,13.1529
7375,7400,7387.5,180,13.4164
7400,7425,7412.5,176,13.2665
7425,7450,7437.5,166,12.8841
7450,7475,7462.5,179,13.3791
7475,7500,7487.5,173,13.1529
7500,7525,7512.5,178,13.3417
7525,7550,7537.5,175,13.2288
7550,7575,7562.5,152,12.3288
7575,7600,7587.5,154,12.4097
7600,7625,7612.5,180,13.4164
7625,7650,7637.5,169,13.0
7650,7675,7662.5,182,13.4907
7675,7700,7687.5,165,12.8452
7700,7725,7712.5,162,12.7279
7725,7750,7737.5,144,12.0
7750,7775,7762.5,171,13.0767
7775,7800,7787.5,191,13.8203
7800,7825,7812.5,173,13.1529
7825,7850,7837.5,181,13.4536
7850,7875,7862.5,176,13.2665
7875,7900,7887.5,167,12.9228
7900,7925,7912.5,165,12.8452
7925,7950,7937.5,168,12.9615
7950,7975,7962.5,180,13.4164
7975,8000,7987.5,180,13.4164
8000,8025,8012.5,168,12.9615
8025,8050,8037.5,187,13.6748
8050,8075,8062.5,176,13.2665
8075,8100,8087.5,169,13.0
8100,8125,8112.5,167,12.9228
8125,8150,8137.5,158,12.5698
8150,8175,8162.5,161,12.6886
8175,8200,8187.5,190,13.784
8200,8225,8212.5,175,13.2288
8225,8250,8237.5,189,13.7477
8250,8275,8262.5,158,12.5698
8275,8300,8287.5,167,12.9228
8300,8325,8312.5,160,12.6491
8325,8350,8337.5,176,13.2665
8350,8375,8362.5,188,13.7113
8375,8400,8387.5,186,13.6382
8400,8425,8412.5,188,13.7113
8425,8450,8437.5,198,14.0712
8450,8475,8462.5,180,13.4164
8475,8500,8487.5,184,13.5647
8500,8525,8512.5,163,12.7671
8525,8550,8537.5,158,12.5698
8550,8575,8562.5,169,13.0
8575,8600,8587.5,179,13.3791
8600,8625,8612.5,168,12.9615
8625,8650,8637.5,164,12.8062
8650,8675,8662.5,174,13.1909
8675,8700,8687.5,188,13.7113
8700,8725,8712.5,168,12.9615
8725,8750,8737.5,161,12.6886
8750,8775,8762.5,166,12.8841
8775,8800,8787.5,180,13.4164
8800,8825,8812.5,197,14.0357
8825,8850,8837.5,151,12.2882
8850,8875,8862.5,166,12.8841
8875,8900,8887.5,162,12.7279
8900,8925,8912.5,172,13.1149
8925,8950,8937.5,176,13.2665
8950,8975,8962.5,176,13.2665
8975,9000,8987.5,195,13.9642
9000,9025,9012.5,170,13.0384
9025,9050,9037.5,149,12.2066
9050,9075,9062.5,164,12.8062
9075,9100,9087.5,172,13.1149
9100,9125,9112.5,162,12.7279
9125,9150,9137.5,172,13.1149
9150,9175,9162.5,184,13.5647
9175,9200,9187.5,181,13.4536
9200,9225,9212.5,173,13.1529
9225,9250,9237.5,162,12.7279
9250,9275,9262.5,154,12.4097
9275,9300,9287.5,148,12.1655
9300,9325,9312.5,172,13.1149
9325,9350,9337.5,189,13.7477
9350,9375,9362.5,172,13.1149
9375,9400,9387.5,180,13.4164
9400,9425,9412.5,167,12.9228
9425,9450,9437.5,168,12.9615
9450,9475,9462.5,183,13.5277
9475,9500,9487.5,202,14.2127
9500,9525,9512.5,179,13.3791
9525,9550,9537.5,167,12.9228
9550,9575,9562.5,149,12.2066
9575,9600,9587.5,167,12.9228
9600,9625,9612.5,175,13.2288
9625,9650,9637.5,159,12.6095
9650,9675,9662.5,181,13.4536
9675,9700,9687.5,164,12.8062
9700,9725,9712.5,164,12.8062
9725,9750,9737.5,182,13.4907
9750,9775,9762.5,181,13.4536
9775,9800,9787.5,191,13.8203
9800,9825,9812.5,170,13.0384
9825,9850,9837.5,178,13.3417
9850,9875,9862.5,171,13.0767
9875,9900,9887.5,173,13.1529
9900,9925,9912.5,167,12.9228
