VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0.03,0.031,0.0305,709,26.6271
0.031,0.032,0.0315,780,27.9285
0.032,0.033,0.0325,777,27.8747
0.033,0.034,0.0335,845,29.0689
0.034,0.035,0.0345,782,27.9643
0.035,0.036,0.0355,809,28.4429
0.036,0.037,0.0365,866,29.4279
0.037,0.038,0.0375,754,27.4591
0.038,0.039,0.0385,886,29.7658
0.039,0.04,0.0395,868,29.4618
0.04,0.041,0.0405,1001,31.6386
0.041,0.042,0.0415,822,28.6705
0.042,0.043,0.0425,734,27.0924
0.043,0.044,0.0435,749,27.3679
0.044,0.045,0.0445,763,27.6225
0.045,0.046,0.0455,588,24.2487
0.046,0.047,0.0465,564,23.7487
0.047,0.048,0.0475,595,24.3926
0.048,0.049,0.0485,476,21.8174
0.049,0.05,0.0495,530,23.0217
0.05,0.051,0.0505,427,20.664
0.051,0.052,0.0515,511,22.6053
0.052,0.053,0.0525,358,18.9209
0.053,0.054,0.0535,411,20.2731
0.054,0.055,0.0545,401,20.025
0.055,0.056,0.0555,389,19.7231
0.056,0.057,0.0565,345,18.5742
0.057,0.058,0.0575,249,15.7797
0.058,0.059,0.0585,350,18.7083
0.059,0.06,0.0595,337,18.3576
0.06,0.061,0.0605,272,16.4924
0.061,0.062,0.0615,281,16.7631
0.062,0.063,0.0625,289,17.0
0.063,0.064,0.0635,242,15.5563
0.064,0.065,0.0645,240,15.4919
0.065,0.066,0.0655,186,13.6382
0.066,0.067,0.0665,228,15.0997
0.067,0.068,0.0675,205,14.3178
0.068,0.069,0.0685,180,13.4164
0.069,0.07,0.0695,184,13.5647
0.07,0.071,0.0705,169,13.0
0.071,0.072,0.0715,136,11.6619
0.072,0.073,0.0725,151,12.2882
0.073,0.074,0.0735,165,12.8452
0.074,0.075,0.0745,202,14.2127
0.075,0.076,0.0755,105,10.247
0.076,0.077,0.0765,166,12.8841
0.077,0.078,0.0775,162,12.7279
0.078,0.079,0.0785,150,12.2474
0.079,0.08,0.0795,132,11.4891
0.08,0.081,0.0805,181,13.4536
0.081,0.082,0.0815,130,11.4018
0.082,0.083,0.0825,153,12.3693
0.083,0.084,0.0835,117,10.8167
0.084,0.085,0.0845,109,10.4403
0.085,0.086,0.0855,107,10.3441
0.086,0.087,0.0865,153,12.3693
0.087,0.088,0.0875,158,12.5698
0.088,0.089,0.0885,113,10.6301
0.089,0.09,0.0895,147,12.1244
0.09,0.091,0.0905,161,12.6886
0.091,0.092,0.0915,97,9.8489
0.092,0.093,0.0925,93,9.6437
0.093,0.094,0.0935,98,9.8995
0.094,0.095,0.0945,116,10.7703
0.095,0.096,0.0955,121,11.0
0.096,0.097,0.0965,105,10.247
0.097,0.098,0.0975,94,9.6954
0.098,0.099,0.0985,90,9.4868
0.099,0.1,0.0995,63,7.9373
0.1,0.101,0.1005,95,9.7468
0.101,0.102,0.1015,107,10.3441
0.102,0.103,0.1025,104,10.198
0.103,0.104,0.1035,110,10.4881
0.104,0.105,0.1045,101,10.0499
0.105,0.106,0.1055,77,8.775
0.106,0.107,0.1065,57,7.5498
0.107,0.108,0.1075,52,7.2111
0.108,0.109,0.1085,33,5.7446
0.109,0.11,0.1095,58,7.6158
0.11,0.111,0.1105,57,7.5498
0.111,0.112,0.1115,86,9.2736
0.112,0.113,0.1125,65,8.0623
0.113,0.114,0.1135,51,7.1414
0.114,0.115,0.1145,96,9.798
0.115,0.116,0.1155,53,7.2801
0.116,0.117,0.1165,90,9.4868
0.117,0.118,0.1175,88,9.3808
0.118,0.119,0.1185,41,6.4031
0.119,0.12,0.1195,33,5.7446
0.12,0.121,0.1205,29,5.3852
0.121,0.122,0.1215,64,8.0
0.122,0.123,0.1225,55,7.4162
0.123,0.124,0.1235,74,8.6023
0.124,0.125,0.1245,51,7.1414
0.125,0.126,0.1255,35,5.9161
0.126,0.127,0.1265,44,6.6332
0.127,0.128,0.1275,56,7.4833
0.128,0.129,0.1285,56,7.4833
0.129,0.13,0.1295,37,6.0828
0.13,0.131,0.1305,37,6.0828
0.131,0.132,0.1315,70,8.3666
0.132,0.133,0.1325,31,5.5678
0.133,0.134,0.1335,26,5.099
0.134,0.135,0.1345,30,5.4772
0.135,0.136,0.1355,32,5.6569
0.136,0.137,0.1365,45,6.7082
0.137,0.138,0.1375,37,6.0828
0.138,0.139,0.1385,27,5.1962
0.139,0.14,0.1395,51,7.1414
0.14,0.141,0.1405,33,5.7446
0.141,0.142,0.1415,35,5.9161
0.142,0.143,0.1425,38,6.1644
0.143,0.144,0.1435,43,6.5574
0.144,0.145,0.1445,34,5.831
0.145,0.146,0.1455,21,4.5826
0.146,0.147,0.1465,24,4.899
0.147,0.148,0.1475,46,6.7823
0.148,0.149,0.1485,38,6.1644
