VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0,25,12.5,278,16.6733
25,50,37.5,271,16.4621
50,75,62.5,251,15.843
75,100,87.5,258,16.0624
100,125,112.5,273,16.5227
125,150,137.5,249,15.7797
150,175,162.5,253,15.906
175,200,187.5,242,15.5563
200,225,212.5,237,15.3948
225,250,237.5,241,15.5242
250,275,262.5,252,15.8745
275,300,287.5,231,15.1987
300,325,312.5,198,14.0712
325,350,337.5,237,15.3948
350,375,362.5,233,15.2643
375,400,387.5,207,14.3875
400,425,412.5,229,15.1327
425,450,437.5,221,14.8661
450,475,462.5,186,13.6382
475,500,487.5,209,14.4568
500,525,512.5,220,14.8324
525,550,537.5,213,14.5945
550,575,562.5,176,13.2665
575,600,587.5,181,13.4536
600,625,612.5,214,14.6287
625,650,637.5,193,13.8924
650,675,662.5,221,14.8661
675,700,687.5,184,13.5647
700,725,712.5,194,13.9284
725,750,737.5,192,13.8564
750,775,762.5,192,13.8564
775,800,787.5,207,14.3875
800,825,812.5,205,14.3178
825,850,837.5,194,13.9284
850,875,862.5,181,13.4536
875,900,887.5,186,13.6382
900,925,912.5,184,13.5647
925,950,937.5,196,14.0
950,975,962.5,200,14.1421
975,1000,987.5,198,14.0712
1000,1025,1012.5,207,14.3875
1025,1050,1037.5,184,13.5647
1050,1075,1062.5,168,12.9615
1075,1100,1087.5,185,13.6015
1100,1125,1112.5,180,13.4164
1125,1150,1137.5,184,13.5647
1150,1175,1162.5,193,13.8924
1175,1200,1187.5,198,14.0712
1200,1225,1212.5,179,13.3791
1225,1250,1237.5,196,14.0
1250,1275,1262.5,194,13.9284
1275,1300,1287.5,207,14.3875
1300,1325,1312.5,172,13.1149
1325,1350,1337.5,171,13.0767
1350,1375,1362.5,182,13.4907
1375,1400,1387.5,188,13.7113
1400,1425,1412.5,182,13.4907
1425,1450,1437.5,206,14.3527
1450,1475,1462.5,162,12.7279
1475,1500,1487.5,195,13.9642
1500,1525,1512.5,193,13.8924
1525,1550,1537.5,192,13.8564
1550,1575,1562.5,182,13.4907
1575,1600,1587.5,179,13.3791
1600,1625,1612.5,198,14.0712
1625,1650,1637.5,166,12.8841
1650,1675,1662.5,169,13.0
1675,1700,1687.5,180,13.4164
1700,1725,1712.5,185,13.6015
1725,1750,1737.5,180,13.4164
1750,1775,1762.5,199,14.1067
1775,1800,1787.5,164,12.8062
1800,1825,1812.5,195,13.9642
1825,1850,1837.5,191,13.8203
1850,1875,1862.5,194,13.9284
1875,1900,1887.5,181,13.4536
1900,1925,1912.5,167,12.9228
1925,1950,1937.5,181,13.4536
1950,1975,1962.5,166,12.8841
1975,2000,1987.5,179,13.3791
2000,2025,2012.5,196,14.0
2025,2050,2037.5,177,13.3041
2050,2075,2062.5,164,12.8062
2075,2100,2087.5,179,13.3791
2100,2125,2112.5,169,13.0
2125,2150,2137.5,194,13.9284
2150,2175,2162.5,189,13.7477
2175,2200,2187.5,186,13.6382
2200,2225,2212.5,167,12.9228
2225,2250,2237.5,193,13.8924
2250,2275,2262.5,194,13.9284
2275,2300,2287.5,188,13.7113
2300,2325,2312.5,158,12.5698
2325,2350,2337.5,196,14.0
2350,2375,2362.5,153,12.3693
2375,2400,2387.5,177,13.3041
2400,2425,2412.5,173,13.1529
2425,2450,2437.5,172,13.1149
2450,2475,2462.5,180,13.4164
2475,2500,2487.5,173,13.1529
2500,2525,2512.5,191,13.8203
2525,2550,2537.5,195,13.9642
2550,2575,2562.5,163,12.7671
2575,2600,2587.5,173,13.1529
2600,2625,2612.5,175,13.2288
2625,2650,2637.5,166,12.8841
2650,2675,2662.5,187,13.6748
2675,2700,2687.5,194,13.9284
2700,2725,2712.5,164,12.8062
2725,2750,2737.5,186,13.6382
2750,2775,2762.5,193,13.8924
2775,2800,2787.5,188,13.7113
2800,2825,2812.5,166,12.8841
2825,2850,2837.5,172,13.1149
2850,2875,2862.5,183,13.5277
2875,2900,2887.5,161,12.6886
2900,2925,2912.5,172,13.1149
2925,2950,2937.5,156,12.49
2950,2975,2962.5,184,13.5647
2975,3000,2987.5,176,13.2665
3000,3025,3012.5,177,13.3041
3025,3050,3037.5,178,13.3417
3050,3075,3062.5,165,12.8452
3075,3100,3087.5,177,13.3041
3100,3125,3112.5,175,13.2288
3125,3150,3137.5,158,12.5698
3150,3175,3162.5,180,13.4164
3175,3200,3187.5,191,13.8203
3200,3225,3212.5,177,13.3041
3225,3250,3237.5,156,12.49
3250,3275,3262.5,183,13.5277
3275,3300,3287.5,162,12.7279
3300,3325,3312.5,183,13.5277
3325,3350,3337.5,194,13.9284
3350,3375,3362.5,158,12.5698
3375,3400,3387.5,189,13.7477
3400,3425,3412.5,194,13.9284
3425,3450,3437.5,181,13.4536
3450,3475,3462.5,181,13.4536
3475,3500,3487.5,166,12.8841
3500,3525,3512.5,183,13.5277
3525,3550,3537.5,150,12.2474
3550,3575,3562.5,177,13.3041
3575,3600,3587.5,169,13.0
