TMIN,TMAX,EMIN,EMAX,COUNTS,ERROR
0,1,0.03,0.0449,4,2.0
1,2,0.03,0.0449,7,2.6458
2,3,0.03,0.0449,2,1.4142
3,4,0.03,0.0449,1,1.0
4,5,0.03,0.0449,2,1.4142
5,6,0.03,0.0449,4,2.0
6,7,0.03,0.0449,5,2.2361
7,8,0.03,0.0449,5,2.2361
8,9,0.03,0.0449,6,2.4495
9,10,0.03,0.0449,3,1.7321
10,11,0.03,0.0449,0,0.0
11,12,0.03,0.0449,4,2.0
12,13,0.03,0.0449,3,1.7321
13,14,0.03,0.0449,3,1.7321
14,15,0.03,0.0449,0,0.0
15,16,0.03,0.0449,2,1.4142
16,17,0.03,0.0449,4,2.0
17,18,0.03,0.0449,3,1.7321
18,19,0.03,0.0449,2,1.4142
19,20,0.03,0.0449,3,1.7321
20,21,0.03,0.0449,4,2.0
21,22,0.03,0.0449,3,1.7321
22,23,0.03,0.0449,4,2.0
23,24,0.03,0.0449,6,2.4495
24,25,0.03,0.0449,2,1.4142
25,26,0.03,0.0449,5,2.2361
26,27,0.03,0.0449,3,1.7321
27,28,0.03,0.0449,2,1.4142
28,29,0.03,0.0449,8,2.8284
29,30,0.03,0.0449,3,1.7321
30,31,0.03,0.0449,2,1.4142
31,32,0.03,0.0449,5,2.2361
32,33,0.03,0.0449,6,2.4495
33,34,0.03,0.0449,4,2.0
34,35,0.03,0.0449,2,1.4142
35,36,0.03,0.0449,1,1.0
36,37,0.03,0.0449,2,1.4142
37,38,0.03,0.0449,1,1.0
38,39,0.03,0.0449,4,2.0
39,40,0.03,0.0449,2,1.4142
40,41,0.03,0.0449,6,2.4495
41,42,0.03,0.0449,4,2.0
42,43,0.03,0.0449,2,1.4142
43,44,0.03,0.0449,5,2.2361
44,45,0.03,0.0449,3,1.7321
45,46,0.03,0.0449,1,1.0
46,47,0.03,0.0449,4,2.0
47,48,0.03,0.0449,2,1.4142
48,49,0.03,0.0449,4,2.0
49,50,0.03,0.0449,2,1.4142
50,51,0.03,0.0449,4,2.0
51,52,0.03,0.0449,3,1.7321
52,53,0.03,0.0449,3,1.7321
53,54,0.03,0.0449,5,2.2361
54,55,0.03,0.0449,1,1.0
55,56,0.03,0.0449,2,1.4142
56,57,0.03,0.0449,6,2.4495
57,58,0.03,0.0449,6,2.4495
58,59,0.03,0.0449,3,1.7321
59,60,0.03,0.0449,5,2.2361
60,61,0.03,0.0449,4,2.0
61,62,0.03,0.0449,1,1.0
62,63,0.03,0.0449,1,1.0
63,64,0.03,0.0449,3,1.7321
64,65,0.03,0.0449,5,2.2361
65,66,0.03,0.0449,3,1.7321
66,67,0.03,0.0449,2,1.4142
67,68,0.03,0.0449,3,1.7321
68,69,0.03,0.0449,2,1.4142
69,70,0.03,0.0449,5,2.2361
70,71,0.03,0.0449,3,1.7321
71,72,0.03,0.0449,5,2.2361
72,73,0.03,0.0449,4,2.0
73,74,0.03,0.0449,3,1.7321
74,75,0.03,0.0449,3,1.7321
75,76,0.03,0.0449,7,2.6458
76,77,0.03,0.0449,2,1.4142
77,78,0.03,0.0449,6,2.4495
78,79,0.03,0.0449,2,1.4142
79,80,0.03,0.0449,5,2.2361
80,81,0.03,0.0449,4,2.0
81,82,0.03,0.0449,3,1.7321
82,83,0.03,0.0449,2,1.4142
83,84,0.03,0.0449,3,1.7321
84,85,0.03,0.0449,4,2.0
85,86,0.03,0.0449,2,1.4142
86,87,0.03,0.0449,5,2.2361
87,88,0.03,0.0449,0,0.0
88,89,0.03,0.0449,4,2.0
89,90,0.03,0.0449,2,1.4142
90,91,0.03,0.0449,4,2.0
91,92,0.03,0.0449,2,1.4142
92,93,0.03,0.0449,2,1.4142
93,94,0.03,0.0449,2,1.4142
94,95,0.03,0.0449,2,1.4142
95,96,0.03,0.0449,7,2.6458
96,97,0.03,0.0449,3,1.7321
97,98,0.03,0.0449,2,1.4142
98,99,0.03,0.0449,2,1.4142
99,100,0.03,0.0449,5,2.2361
100,101,0.03,0.0449,4,2.0
101,102,0.03,0.0449,5,2.2361
102,103,0.03,0.0449,1,1.0
103,104,0.03,0.0449,5,2.2361
104,105,0.03,0.0449,4,2.0
105,106,0.03,0.0449,1,1.0
106,107,0.03,0.0449,3,1.7321
107,108,0.03,0.0449,4,2.0
108,109,0.03,0.0449,1,1.0
109,110,0.03,0.0449,3,1.7321
110,111,0.03,0.0449,4,2.0
111,112,0.03,0.0449,6,2.4495
112,113,0.03,0.0449,2,1.4142
113,114,0.03,0.0449,4,2.0
114,115,0.03,0.0449,2,1.4142
115,116,0.03,0.0449,6,2.4495
116,117,0.03,0.0449,4,2.0
117,118,0.03,0.0449,6,2.4495
118,119,0.03,0.0449,1,1.0
119,120,0.03,0.0449,5,2.2361
120,121,0.03,0.0449,2,1.4142
121,122,0.03,0.0449,3,1.7321
122,123,0.03,0.0449,4,2.0
123,124,0.03,0.0449,2,1.4142
124,125,0.03,0.0449,2,1.4142
125,126,0.03,0.0449,4,2.0
126,127,0.03,0.0449,6,2.4495
127,128,0.03,0.0449,6,2.4495
128,129,0.03,0.0449,2,1.4142
129,130,0.03,0.0449,0,0.0
130,131,0.03,0.0449,5,2.2361
131,132,0.03,0.0449,7,2.6458
132,133,0.03,0.0449,4,2.0
133,134,0.03,0.0449,2,1.4142
134,135,0.03,0.0449,2,1.4142
135,136,0.03,0.0449,4,2.0
136,137,0.03,0.0449,2,1.4142
137,138,0.03,0.0449,3,1.7321
138,139,0.03,0.0449,2,1.4142
139,140,0.03,0.0449,1,1.0
140,141,0.03,0.0449,3,1.7321
141,142,0.03,0.0449,8,2.8284
142,143,0.03,0.0449,3,1.7321
143,144,0.03,0.0449,1,1.0
144,145,0.03,0.0449,4,2.0
145,146,0.03,0.0449,1,1.0
146,147,0.03,0.0449,3,1.7321
147,148,0.03,0.0449,4,2.0
148,149,0.03,0.0449,4,2.0
149,150,0.03,0.0449,6,2.4495
150,151,0.03,0.0449,1,1.0
151,152,0.03,0.0449,3,1.7321
152,153,0.03,0.0449,1,1.0
153,154,0.03,0.0449,4,2.0
154,155,0.03,0.0449,3,1.7321
155,156,0.03,0.0449,3,1.7321
156,157,0.03,0.0449,4,2.0
157,158,0.03,0.0449,4,2.0
158,159,0.03,0.0449,2,1.4142
159,160,0.03,0.0449,2,1.4142
160,161,0.03,0.0449,4,2.0
161,162,0.03,0.0449,1,1.0
162,163,0.03,0.0449,6,2.4495
163,164,0.03,0.0449,3,1.7321
164,165,0.03,0.0449,4,2.0
165,166,0.03,0.0449,4,2.0
166,167,0.03,0.0449,3,1.7321
167,168,0.03,0.0449,3,1.7321
168,169,0.03,0.0449,2,1.4142
169,170,0.03,0.0449,0,0.0
170,171,0.03,0.0449,2,1.4142
171,172,0.03,0.0449,5,2.2361
172,173,0.03,0.0449,6,2.4495
173,174,0.03,0.0449,1,1.0
174,175,0.03,0.0449,4,2.0
175,176,0.03,0.0449,4,2.0
176,177,0.03,0.0449,4,2.0
177,178,0.03,0.0449,8,2.8284
178,179,0.03,0.0449,5,2.2361
179,180,0.03,0.0449,3,1.7321
180,181,0.03,0.0449,1,1.0
181,182,0.03,0.0449,1,1.0
182,183,0.03,0.0449,3,1.7321
183,184,0.03,0.0449,3,1.7321
184,185,0.03,0.0449,1,1.0
185,186,0.03,0.0449,3,1.7321
186,187,0.03,0.0449,6,2.4495
187,188,0.03,0.0449,2,1.4142
188,189,0.03,0.0449,4,2.0
189,190,0.03,0.0449,2,1.4142
190,191,0.03,0.0449,2,1.4142
191,192,0.03,0.0449,3,1.7321
192,193,0.03,0.0449,1,1.0
