TMIN,TMAX,EMIN,EMAX,COUNTS,ERROR
0,50,0.03,0.0449,161,12.6886
50,100,0.03,0.0449,153,12.3693
100,150,0.03,0.0449,130,11.4018
150,200,0.03,0.0449,144,12.0
200,250,0.03,0.0449,140,11.8322
250,300,0.03,0.0449,148,12.1655
300,350,0.03,0.0449,161,12.6886
350,400,0.03,0.0449,166,12.8841
400,450,0.03,0.0449,159,12.6095
450,500,0.03,0.0449,138,11.7473
500,550,0.03,0.0449,148,12.1655
550,600,0.03,0.0449,130,11.4018
600,650,0.03,0.0449,167,12.9228
650,700,0.03,0.0449,159,12.6095
700,750,0.03,0.0449,125,11.1803
750,800,0.03,0.0449,151,12.2882
800,850,0.03,0.0449,180,13.4164
850,900,0.03,0.0449,161,12.6886
900,950,0.03,0.0449,149,12.2066
950,1000,0.03,0.0449,165,12.8452
1000,1050,0.03,0.0449,135,11.619
1050,1100,0.03,0.0449,145,12.0416
1100,1150,0.03,0.0449,158,12.5698
1150,1200,0.03,0.0449,127,11.2694
1200,1250,0.03,0.0449,180,13.4164
1250,1300,0.03,0.0449,149,12.2066
1300,1350,0.03,0.0449,149,12.2066
1350,1400,0.03,0.0449,157,12.53
1400,1450,0.03,0.0449,147,12.1244
1450,1500,0.03,0.0449,140,11.8322
1500,1550,0.03,0.0449,182,13.4907
1550,1600,0.03,0.0449,163,12.7671
1600,1650,0.03,0.0449,151,12.2882
1650,1700,0.03,0.0449,168,12.9615
1700,1750,0.03,0.0449,152,12.3288
1750,1800,0.03,0.0449,145,12.0416
0,50,0.0449,0.0671,109,10.4403
50,100,0.0449,0.0671,92,9.5917
100,150,0.0449,0.0671,112,10.583
150,200,0.0449,0.0671,109,10.4403
200,250,0.0449,0.0671,125,11.1803
250,300,0.0449,0.0671,95,9.7468
300,350,0.0449,0.0671,101,10.0499
350,400,0.0449,0.0671,114,10.6771
400,450,0.0449,0.0671,107,10.3441
450,500,0.0449,0.0671,116,10.7703
500,550,0.0449,0.0671,108,10.3923
550,600,0.0449,0.0671,113,10.6301
600,650,0.0449,0.0671,109,10.4403
650,700,0.0449,0.0671,104,10.198
700,750,0.0449,0.0671,104,10.198
750,800,0.0449,0.0671,110,10.4881
800,850,0.0449,0.0671,88,9.3808
850,900,0.0449,0.0671,107,10.3441
900,950,0.0449,0.0671,132,11.4891
950,1000,0.0449,0.0671,113,10.6301
1000,1050,0.0449,0.0671,111,10.5357
1050,1100,0.0449,0.0671,97,9.8489
1100,1150,0.0449,0.0671,111,10.5357
1150,1200,0.0449,0.0671,139,11.7898
1200,1250,0.0449,0.0671,123,11.0905
1250,1300,0.0449,0.0671,103,10.1489
1300,1350,0.0449,0.0671,96,9.798
1350,1400,0.0449,0.0671,114,10.6771
1400,1450,0.0449,0.0671,104,10.198
1450,1500,0.0449,0.0671,128,11.3137
1500,1550,0.0449,0.0671,83,9.1104
1550,1600,0.0449,0.0671,112,10.583
1600,1650,0.0449,0.0671,99,9.9499
1650,1700,0.0449,0.0671,124,11.1355
1700,1750,0.0449,0.0671,107,10.3441
1750,1800,0.0449,0.0671,98,9.8995
0,50,0.0671,0.1003,48,6.9282
50,100,0.0671,0.1003,54,7.3485
100,150,0.0671,0.1003,56,7.4833
150,200,0.0671,0.1003,58,7.6158
200,250,0.0671,0.1003,54,7.3485
250,300,0.0671,0.1003,57,7.5498
300,350,0.0671,0.1003,67,8.1854
350,400,0.0671,0.1003,46,6.7823
400,450,0.0671,0.1003,68,8.2462
450,500,0.0671,0.1003,50,7.0711
500,550,0.0671,0.1003,58,7.6158
550,600,0.0671,0.1003,66,8.124
600,650,0.0671,0.1003,64,8.0
650,700,0.0671,0.1003,50,7.0711
700,750,0.0671,0.1003,54,7.3485
750,800,0.0671,0.1003,55,7.4162
800,850,0.0671,0.1003,52,7.2111
850,900,0.0671,0.1003,46,6.7823
900,950,0.0671,0.1003,50,7.0711
950,1000,0.0671,0.1003,46,6.7823
1000,1050,0.0671,0.1003,56,7.4833
1050,1100,0.0671,0.1003,50,7.0711
1100,1150,0.0671,0.1003,57,7.5498
1150,1200,0.0671,0.1003,69,8.3066
1200,1250,0.0671,0.1003,53,7.2801
1250,1300,0.0671,0.1003,49,7.0
1300,1350,0.0671,0.1003,50,7.0711
1350,1400,0.0671,0.1003,59,7.6811
1400,1450,0.0671,0.1003,50,7.0711
1450,1500,0.0671,0.1003,51,7.1414
1500,1550,0.0671,0.1003,51,7.1414
1550,1600,0.0671,0.1003,69,8.3066
1600,1650,0.0671,0.1003,58,7.6158
1650,1700,0.0671,0.1003,58,7.6158
1700,1750,0.0671,0.1003,49,7.0
1750,1800,0.0671,0.1003,45,6.7082
0,50,0.1003,0.15,28,5.2915
50,100,0.1003,0.15,39,6.245
100,150,0.1003,0.15,29,5.3852
150,200,0.1003,0.15,28,5.2915
200,250,0.1003,0.15,23,4.7958
250,300,0.1003,0.15,27,5.1962
300,350,0.1003,0.15,39,6.245
350,400,0.1003,0.15,33,5.7446
400,450,0.1003,0.15,24,4.899
450,500,0.1003,0.15,30,5.4772
500,550,0.1003,0.15,31,5.5678
550,600,0.1003,0.15,36,6.0
600,650,0.1003,0.15,22,4.6904
650,700,0.1003,0.15,38,6.1644
700,750,0.1003,0.15,28,5.2915
750,800,0.1003,0.15,22,4.6904
800,850,0.1003,0.15,30,5.4772
850,900,0.1003,0.15,27,5.1962
900,950,0.1003,0.15,32,5.6569
950,1000,0.1003,0.15,26,5.099
1000,1050,0.1003,0.15,26,5.099
1050,1100,0.1003,0.15,30,5.4772
1100,1150,0.1003,0.15,33,5.7446
1150,1200,0.1003,0.15,19,4.3589
1200,1250,0.1003,0.15,20,4.4721
1250,1300,0.1003,0.15,22,4.6904
1300,1350,0.1003,0.15,29,5.3852
1350,1400,0.1003,0.15,25,5.0
1400,1450,0.1003,0.15,28,5.2915
1450,1500,0.1003,0.15,27,5.1962
1500,1550,0.1003,0.15,20,4.4721
1550,1600,0.1003,0.15,32,5.6569
1600,1650,0.1003,0.15,24,4.899
1650,1700,0.1003,0.15,25,5.0
1700,1750,0.1003,0.15,28,5.2915
1750,1800,0.1003,0.15,23,4.7958
