VALMIN,VALMAX,VALCENTER,COUNTS,ERROR
0,10,5.0,236,15.3623
10,20,15.0,266,16.3095
20,30,25.0,253,15.906
30,40,35.0,269,16.4012
40,50,45.0,272,16.4924
50,60,55.0,288,16.9706
60,70,65.0,236,15.3623
70,80,75.0,302,17.3781
80,90,85.0,255,15.9687
90,100,95.0,256,16.0
100,110,105.0,238,15.4272
110,120,115.0,280,16.7332
120,130,125.0,241,15.5242
130,140,135.0,253,15.906
140,150,145.0,272,16.4924
150,160,155.0,272,16.4924
160,170,165.0,282,16.7929
170,180,175.0,245,15.6525
180,190,185.0,260,16.1245
190,200,195.0,263,16.2173
200,210,205.0,249,15.7797
210,220,215.0,279,16.7033
220,230,225.0,263,16.2173
230,240,235.0,261,16.1555
240,250,245.0,244,15.6205
250,260,255.0,255,15.9687
260,270,265.0,250,15.8114
270,280,275.0,281,16.7631
280,290,285.0,256,16.0
290,300,295.0,272,16.4924
300,310,305.0,239,15.4596
310,320,315.0,247,15.7162
320,330,325.0,278,16.6733
330,340,335.0,281,16.7631
340,350,345.0,252,15.8745
350,360,355.0,238,15.4272
360,370,365.0,276,16.6132
370,380,375.0,225,15.0
380,390,385.0,260,16.1245
390,400,395.0,262,16.1864
400,410,405.0,250,15.8114
410,420,415.0,236,15.3623
420,430,425.0,253,15.906
430,440,435.0,238,15.4272
440,450,445.0,275,16.5831
450,460,455.0,276,16.6132
460,470,465.0,251,15.843
470,480,475.0,279,16.7033
480,490,485.0,253,15.906
490,500,495.0,273,16.5227
500,510,505.0,263,16.2173
510,520,515.0,256,16.0
520,530,525.0,262,16.1864
530,540,535.0,266,16.3095
540,550,545.0,287,16.9411
550,560,555.0,266,16.3095
560,570,565.0,258,16.0624
570,580,575.0,244,15.6205
580,590,585.0,265,16.2788
590,600,595.0,276,16.6132
600,610,605.0,248,15.748
610,620,615.0,263,16.2173
620,630,625.0,266,16.3095
630,640,635.0,236,15.3623
640,650,645.0,254,15.9374
650,660,655.0,223,14.9332
660,670,665.0,233,15.2643
670,680,675.0,271,16.4621
680,690,685.0,248,15.748
690,700,695.0,256,16.0
700,710,705.0,264,16.2481
710,720,715.0,282,16.7929
720,730,725.0,269,16.4012
730,740,735.0,267,16.3401
740,750,745.0,269,16.4012
750,760,755.0,260,16.1245
760,770,765.0,252,15.8745
770,780,775.0,254,15.9374
780,790,785.0,275,16.5831
790,800,795.0,269,16.4012
800,810,805.0,250,15.8114
810,820,815.0,267,16.3401
820,830,825.0,260,16.1245
830,840,835.0,275,16.5831
840,850,845.0,276,16.6132
850,860,855.0,260,16.1245
860,870,865.0,264,16.2481
870,880,875.0,264,16.2481
880,890,885.0,233,15.2643
890,900,895.0,269,16.4012
900,910,905.0,225,15.0
910,920,915.0,242,15.5563
920,930,925.0,250,15.8114
930,940,935.0,271,16.4621
940,950,945.0,285,16.8819
950,960,955.0,273,16.5227
960,970,965.0,278,16.6733
970,980,975.0,285,16.8819
980,990,985.0,263,16.2173
990,1000,995.0,256,16.0
1000,1010,1005.0,223,14.9332
