TMIN,TMAX,EMIN,EMAX,COUNTS,ERROR
0,100,0.03,0.0449,1223,34.9714
100,200,0.03,0.0449,1184,34.4093
200,300,0.03,0.0449,1138,33.7343
300,400,0.03,0.0449,1144,33.8231
400,500,0.03,0.0449,1105,33.2415
500,600,0.03,0.0449,1121,33.4813
600,700,0.03,0.0449,1132,33.6452
700,800,0.03,0.0449,1139,33.7491
800,900,0.03,0.0449,1115,33.3916
900,1000,0.03,0.0449,1175,34.2783
1000,1100,0.03,0.0449,1142,33.7935
1100,1200,0.03,0.0449,1092,33.0454
1200,1300,0.03,0.0449,1131,33.6303
1300,1400,0.03,0.0449,1156,34.0
1400,1500,0.03,0.0449,1156,34.0
1500,1600,0.03,0.0449,1142,33.7935
1600,1700,0.03,0.0449,1117,33.4215
1700,1800,0.03,0.0449,1104,33.2265
0,100,0.0449,0.0671,755,27.4773
100,200,0.0449,0.0671,847,29.1033
200,300,0.0449,0.0671,815,28.5482
300,400,0.0449,0.0671,824,28.7054
400,500,0.0449,0.0671,878,29.6311
500,600,0.0449,0.0671,811,28.4781
600,700,0.0449,0.0671,860,29.3258
700,800,0.0449,0.0671,836,28.9137
800,900,0.0449,0.0671,862,29.3598
900,1000,0.0449,0.0671,854,29.2233
1000,1100,0.0449,0.0671,851,29.1719
1100,1200,0.0449,0.0671,836,28.9137
1200,1300,0.0449,0.0671,855,29.2404
1300,1400,0.0449,0.0671,763,27.6225
1400,1500,0.0449,0.0671,860,29.3258
1500,1600,0.0449,0.0671,858,29.2916
1600,1700,0.0449,0.0671,827,28.7576
1700,1800,0.0449,0.0671,841,29.0
0,100,0.0671,0.1003,407,20.1742
100,200,0.0671,0.1003,421,20.5183
200,300,0.0671,0.1003,407,20.1742
300,400,0.0671,0.1003,421,20.5183
400,500,0.0671,0.1003,438,20.9284
500,600,0.0671,0.1003,431,20.7605
600,700,0.0671,0.1003,422,20.5426
700,800,0.0671,0.1003,453,21.2838
800,900,0.0671,0.1003,410,20.2485
900,1000,0.0671,0.1003,426,20.6398
1000,1100,0.0671,0.1003,429,20.7123
1100,1200,0.0671,0.1003,445,21.095
1200,1300,0.0671,0.1003,435,20.8567
1300,1400,0.0671,0.1003,397,19.9249
1400,1500,0.0671,0.1003,423,20.567
1500,1600,0.0671,0.1003,449,21.1896
1600,1700,0.0671,0.1003,432,20.7846
1700,1800,0.0671,0.1003,413,20.3224
0,100,0.1003,0.15,193,13.8924
100,200,0.1003,0.15,207,14.3875
200,300,0.1003,0.15,202,14.2127
300,400,0.1003,0.15,191,13.8203
400,500,0.1003,0.15,199,14.1067
500,600,0.1003,0.15,203,14.2478
600,700,0.1003,0.15,213,14.5945
700,800,0.1003,0.15,214,14.6287
800,900,0.1003,0.15,222,14.8997
900,1000,0.1003,0.15,204,14.2829
1000,1100,0.1003,0.15,211,14.5258
1100,1200,0.1003,0.15,191,13.8203
1200,1300,0.1003,0.15,201,14.1774
1300,1400,0.1003,0.15,195,13.9642
1400,1500,0.1003,0.15,217,14.7309
1500,1600,0.1003,0.15,209,14.4568
1600,1700,0.1003,0.15,214,14.6287
1700,1800,0.1003,0.15,225,15.0
